codigo_unico,indicador,codigo_categoria,codigo_subcategoria,codigo_variable,codigo_departamento,departamento,codigo_entidad,entidad,dato,etiqueta,anio,mes
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5001,Medellín,,Ciudades,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5002,Abejorral,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5004,Abriaquí,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5021,Alejandría,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5030,Amagá,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5031,Amalfi,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5034,Andes,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5036,Angelópolis,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5038,Angostura,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5040,Anorí,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5042,Santafé de Antioquia,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5044,Anzá,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5045,Apartadó,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5051,Arboletes,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5055,Argelia,,G5- Nivel Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5059,Armenia,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5079,Barbosa,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5086,Belmira,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5088,Bello,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5091,Betania,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5093,Betulia,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5101,Ciudad Bolívar,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5107,Briceño,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5113,Buriticá,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5120,Cáceres,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5125,Caicedo,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5129,Caldas,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5134,Campamento,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5138,Cañasgordas,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5142,Caracolí,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5145,Caramanta,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5147,Carepa,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5148,El Carmen de Viboral,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5150,Carolina,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5154,Caucasia,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5172,Chigorodó,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5190,Cisneros,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5197,Cocorná,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5206,Concepción,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5209,Concordia,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5212,Copacabana,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5234,Dabeiba,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5237,Don Matías,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5240,Ebéjico,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5250,El Bagre,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5264,Entrerrios,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5266,Envigado,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5282,Fredonia,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5284,Frontino,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5306,Giraldo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5308,Girardota,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5310,Gómez Plata,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5313,Granada,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5315,Guadalupe,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5318,Guarne,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5321,Guatapé,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5347,Heliconia,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5353,Hispania,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5360,Itagüí,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5361,Ituango,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5364,Jardín,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5368,Jericó,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5376,La Ceja,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5380,La Estrella,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5390,La Pintada,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5400,La Unión,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5411,Liborina,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5425,Maceo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5440,Marinilla,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5467,Montebello,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5475,Murindó,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5480,Mutatá,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5483,Nariño,,G5- Nivel Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5490,Necoclí,,G5- Nivel Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5495,Nechí,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5501,Olaya,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5541,Peñol,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5543,Peque,,G5- Nivel Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5576,Pueblorrico,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5579,Puerto Berrío,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5585,Puerto Nare,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5591,Puerto Triunfo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5604,Remedios,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5607,Retiro,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5615,Rionegro,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5628,Sabanalarga,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5631,Sabaneta,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5642,Salgar,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5647,San Andrés de Cuerquía,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5649,San Carlos,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5652,San Francisco,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5656,San Jerónimo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5658,San José de La Montaña,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5659,San Juan de Urabá,,G5- Nivel Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5660,San Luis,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5664,San Pedro de Los Milagros,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5665,San Pedro de Urabá,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5667,San Rafael,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5670,San Roque,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5674,San Vicente,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5679,Santa Bárbara,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5686,Santa Rosa de Osos,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5690,Santo Domingo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5697,El Santuario,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5736,Segovia,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5756,Sonsón,,G1- Nivel Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5761,Sopetrán,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5789,Támesis,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5790,Tarazá,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5792,Tarso,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5809,Titiribí,,G3- Nivel Medio,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5819,Toledo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5837,Turbo,,G2- Nivel Medio Alto,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5842,Uramita,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5847,Urrao,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5854,Valdivia,,G4- Nivel Medio Bajo,2016,12
80010001,Grupo de dotaciones iniciales,8,1,1,5,Antioquia,5856,Valparaíso,,G1- Nivel Alto,2016,12
