codigo_motivo,micronegocios,ano
1.0,4292170.7089014,2022
2.0,584772.2820434789,2022
3.0,124146.5141709016,2022
4.0,38900.023709145076,2022
5.0,110247.6953837845,2022
6.0,719.0723774335639,2022
1.0,4331141.331216229,2023
2.0,609633.3033208809,2023
3.0,116732.83587448936,2023
4.0,38919.64556620199,2023
5.0,91859.4631082018,2023
6.0,115.8564388037441,2023
1.0,4431724.194299162,2024
2.0,669924.5902271877,2024
3.0,101535.75725742705,2024
4.0,27829.827031956123,2024
5.0,62991.038965694956,2024
6.0,3246.148466610069,2024
