dpto,micronegocios,ano
0,77156.0,2021
5,646744.3933309525,2022
8,377949.1586302209,2022
11,464378.819969013,2022
13,359504.8242046506,2022
15,135560.43702723618,2022
17,82180.0344289911,2022
18,44887.36838086674,2022
19,171226.74805909113,2022
20,128659.25676418986,2022
23,285171.7262626204,2022
25,176923.48522776837,2022
27,36996.48608086936,2022
41,98251.65249757552,2022
44,161586.726988236,2022
47,218404.0814572086,2022
50,89946.10206573163,2022
52,413575.49988749146,2022
54,133176.31097423882,2022
63,38660.298356777515,2022
66,71011.69267458296,2022
68,249919.5248266518,2022
70,190165.64180564779,2022
73,118165.30545138514,2022
76,455362.73756700935,2022
88,2547.983667136483,2022
5,667243.7094659702,2023
8,362026.4665872307,2023
11,510090.17898160475,2023
13,364863.9431639394,2023
15,125190.72348679739,2023
17,87256.29686065453,2023
18,44340.39379437212,2023
19,172335.09103356834,2023
20,139093.145575207,2023
23,284170.25611449,2023
25,208981.64015602015,2023
27,35435.024412518964,2023
41,73018.1624660497,2023
44,77657.24989829156,2023
47,188314.99589183935,2023
50,76569.08858490502,2023
52,409817.25062042166,2023
54,126936.44522848871,2023
63,37282.49049134519,2023
66,77733.83749485298,2023
68,279146.07961162203,2023
70,180960.54842270663,2023
73,128984.34199671382,2023
76,528013.1869125114,2023
88,2941.8882726856286,2023
5,630026.5202725525,2024
8,330511.3583920216,2024
11,589011.9337967692,2024
13,327074.3552347555,2024
15,112093.19842607199,2024
17,85489.84111238128,2024
18,49092.61489696264,2024
19,241154.38512938688,2024
20,153678.32840577816,2024
23,312053.4005486318,2024
25,220726.28557272092,2024
27,31896.675480997037,2024
41,87080.84271911095,2024
44,121043.94705647287,2024
47,220049.53848677137,2024
50,106576.56998267512,2024
52,416078.8378691911,2024
54,118395.87668975866,2024
63,37161.87058629976,2024
66,72329.40244121099,2024
68,299091.79747847904,2024
70,160038.37460036538,2024
73,123220.27546849771,2024
76,450663.3858527787,2024
88,2711.939747397121,2024
