uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Haskell.",knowledge,sector-specific
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,modelo de desarrollo incremental,El modelo de desarrollo incremental es una metodología para diseñar sistemas y aplicaciones de software.,knowledge,sector-specific
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"El programa informático KDevelop es un conjunto de herramientas de desarrollo de software para escribir programas, como compiladores, depuradores, editores de códigos, información destacada de códigos, empaquetado en una interfaz de usuario unificada. Lo desarrolla la comunidad de software KDE.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (sistemas de gestión de aprendizaje),"El sistema de aprendizaje Absorb es una plataforma de aprendizaje electrónico para crear, administrar y ofrecer cursos de educación en línea o programas de formación para estudiantes de secundaria.",knowledge,sector-specific
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,desarrollar arquitecturas innovadoras de cadena de bloques,"Desarrollar nuevas arquitecturas de cadena de bloques que aborden las propiedades y prioridades que sean necesarias para aplicaciones específicas. Argumentar las ventajas y desventajas de estas nuevas arquitecturas con respecto a las ya existentes.
	",skill/competence,cross-sector
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,ingeniería de redes,"Subcampo de la tecnología informática que se refiere a la gestión de la conectividad de las redes a través de servicios de datos, voz, llamadas y redes inalámbricas.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrar datos existentes,"Aplicar métodos de migración y conversión para los datos existentes, a fin de transferir o convertir datos de un formato a otro y entre distintos sistemas de almacenamiento o sistemas informáticos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definir la estructura física de bases de datos,"Especificar la configuración física de los archivos de bases de datos en un medio determinado. Esto consiste en especificaciones pormenorizadas de las opciones de indización, los tipos de datos y los elementos de datos introducidos en el diccionario de datos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,"La plataforma Maltego es una aplicación forense que utiliza la minería de datos para ofrecer una visión general del entorno de las organizaciones, probar las debilidades de seguridad del sistema para el acceso potencialmente no autorizado y demuestra la complejidad de los fallos de la infraestructura.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operar el equipo de radio,"Instalar y operar dispositivos y accesorios de radio como consolas de radiodifusión, amplificadores y micrófonos. Comprender los aspectos básicos del lenguaje de los operadores de radio y, cuando sea necesario, proporcionar instrucciones para el correcto manejo de los equipos de radio.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,"Técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en Erlang.",knowledge,sector-specific
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,gestionar la clasificación de datos de las TIC,Supervisar el sistema de clasificación que utiliza una organización para organizar sus datos. Asignar un propietario a cada concepto de datos o conjunto de conceptos y determinar el valor de cada dato.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,estructura de la información,"El tipo de infraestructura que define el formato de los datos: semiestructurados, no estructurados y estructurados.",knowledge,sector-specific
http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,gestionar redes de TIC temporales para espectáculos en vivo,"Gestionar la instalación de redes para la distribución de señales de control para aplicaciones de artes escénicas y eventos. Coordinarse con los distintos usuarios. Definir e instalar el equipo, los cables, las conexiones y los dispositivos. Configurar y poner a prueba el equipo y el rendimiento de la red y realizar un seguimiento de estos. Las señales de control incluyen, por ejemplo, datos de DMX, RDM, MIDI, de código temporal, seguimiento y posicionamiento, pero también señales de audio, vídeo y posicionamiento.
   ",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,mantenerse al día de las innovaciones digitales en los procedimientos industriales,Mantenerse al día de las innovaciones digitales aplicables a los procedimientos industriales. Integrar estas transformaciones en los procesos de la empresa con vistas a unos modelos de negocio competitivos y rentables.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,configurar los equipos de oficina,"Conectar equipos de oficina, como módems, escáneres e impresoras, a la red eléctrica y efectuar una interconexión eléctrica para evitar diferencias de potencial que puedan resultar peligrosas. Probar la instalación para verificar su buen funcionamiento. Controlar la configuración y preparar el aparato para su utilización.",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,lenguaje de programación SAS (SAS language),"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en lenguaje SAS.",knowledge,sector-specific
http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,utilizar una interfaz para aplicaciones específicas,Comprender y utilizar interfaces específicas de una aplicación o un caso de uso.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,diseñar sistemas eléctricos,"Trazar croquis y diseñar sistemas, productos y componentes eléctricos utilizando software y equipos de diseño asistido por ordenador (CAD). Dibujar planos de la disposición de paneles, esquemas eléctricos, diagramas de cableado eléctrico y otros detalles de montaje.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,definir reglas para cortafuegos,Especificar las reglas que rigen un conjunto de componentes destinados a limitar el acceso entre grupos de redes o una red particular e internet.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/055ff233-6569-43db-9f95-a4b03dca97da,utilizar sistemas de archivo de las actividades del almacén,"Utilizar sistemas de registro de productos, paquetes e información sobre pedidos en formatos y tipos de registro específicos.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,"El motor de juego CryEngine, que es un marco de software que consta de entornos de desarrollo integrados y herramientas de diseño especializadas, diseñadas para la iteración rápida de juegos de ordenador derivados de usuarios.",knowledge,sector-specific
