uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,formar al personal para reducir el desperdicio de alimentos,"Crear nuevos cursos y medidas para el desarrollo del personal con el fin de reforzar sus conocimientos sobre la prevención del desperdicio de alimentos y sobre las prácticas de reciclado de alimentos. Asegurarse de que el personal entiende los métodos y las herramientas para el reciclado de alimentos, como la separación de los residuos.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,desarrollar conceptos de ahorro de energía,"Utilizar los resultados de las investigaciones actuales y colaborar con expertos para optimizar o desarrollar conceptos, equipos y procesos de producción que requieran una menor cantidad de energía, como las nuevas prácticas y materiales de aislamiento.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,instalar bombas de calor,"Instalar bombas de calor que utilicen las propiedades físicas de sustancias denominadas refrigerantes para extraer calor de un entorno y liberarlo en un entorno más cálido, frente a un flujo de calor espontáneo. Crear las aberturas necesarias e instalar las partes de interior y de exterior de la bomba de calor. Conectarla a la electricidad y a cualquier conducto necesario, así como configurarla.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,diseñar instalaciones de biomasa,"Diseñar un sistema de energía de la biomasa. Definir los límites de la construcción, como el espacio necesario y el peso. Calcular indicadores como la capacidad, el flujo y las temperaturas. Realizar descripciones y dibujos detallados del diseño.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,mantener equipos de selección de residuos,Efectuar operaciones periódicas de mantenimiento y pequeñas reparaciones de los equipos utilizados para la selección de residuos y materiales reciclables.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adoptar vías para fomentar la biodiversidad y el bienestar animal,"Adoptar formas de actuar que ayuden a mantener unos ecosistemas estables y a combatir la extinción en masa, entre otros, optando de manera consciente por una alimentación que respalde la producción de alimentos orgánicos y el bienestar animal.
  ",skill/competence,transversal
http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,llevar a cabo un estudio de viabilidad para sistemas de gestión de edificios,"Analizar y evaluar la viabilidad de un sistema de gestión de edificios. Llevar a cabo un estudio estandarizado para determinar la contribución en términos de ahorro de energía, los costes y las limitaciones y realizar una investigación que respalde el proceso de toma de decisiones.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,normas en materia de exposición a la contaminación,"Los reglamentos relativos a la exposición a materiales contaminados o a un entorno peligroso que regulen las acciones relativas a la evaluación de riesgos, la reducción al mínimo de la exposición adicional, la cuarentena y el tratamiento de las personas expuestas.",knowledge,cross-sector
http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,retirar materiales contaminados,Retirar materiales y equipos que estén contaminados por sustancias peligrosas con el fin de proteger su entorno de una contaminación posterior y de tratar o desechar los materiales contaminados.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,rescatar a animales,Rescatar a animales a los que se encuentre en situaciones que supongan un peligro inmediato o potencial para su bienestar.,skill/competence,sector-specific
