uri,nombre,nombres_alternativos,nombres_ocultos,codigo_isco,codigo_nace,definicion,nota_profesion_regulada,nota_alcance,esquema
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,director técnico/directora técnica,"directora técnica
director técnico",,2654,http://data.europa.eu/ux2/nace2.1/9031,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,operador de máquina perfiladora de metal/operadora de máquina perfiladora de metal,"operadora de máquina trefiladora de metales
trefiladora
operadora de máquina trefiladora
técnica de máquina trefiladora
técnico de máquina trefiladora
operadora de máquina perfiladora de metal
operador de máquina trefiladora
operador de máquina trefiladora de metales
trefilador
operador de máquina perfiladora de metal",,8121,http://data.europa.eu/ux2/nace2.1/242,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,inspector de dispositivos de precisión/inspectora de dispositivos de precisión,"supervisora de calidad de dispositivos de precisión
inspector de control de calidad de dispositivos de precisión
inspector de instrumentos de precisión
inspectora de instrumentos de precisión
supervisor de calidad de dispositivos de precisión
inspectora de control de calidad de dispositivos de precisión
inspectora de dispositivos de precisión
inspector de dispositivos de precisión",,7543,http://data.europa.eu/ux2/nace2.1/2651,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,técnico de seguridad aérea/técnica de seguridad aérea,"técnica de seguridad de tráfico aéreo
ingeniero aeronáutico (seguridad aérea)
técnica de seguridad aérea
técnico de seguridad de tráfico aéreo
técnico de seguridad aérea
ingeniera aeronáutica (seguridad aérea)",,3155,http://data.europa.eu/ux2/nace2.1/5223,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,gestor de precios/gestora de precios,"directora de revenue management en hostelería
director de revenue management en hostelería
administradora de precios
gestora de precios
encargada del establecimiento de precios
encargado  del establecimiento de precios
responsable de precios
gestor de precios
responsable del establecimiento de precios
administrador de precios",,2431,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,auxiliar de laboratorio de análisis clínicos,"asistente de investigación clínica
auxiliar de laboratorio sanitario
ayudante de laboratorio biomédico",,3212,http://data.europa.eu/ux2/nace2.1/861,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,técnico de laboratorio de asfaltos/técnica de laboratorio de asfaltos,"técnica de laboratorio de materiales
técnico de laboratorio de asfaltos
técnico de laboratorio de materiales
técnico de laboratorio de suelos (asfalto)
técnica de laboratorio de obra
técnica en mecánica de suelos y pavimentos
técnico en mecánica de suelos y pavimentos
técnica de laboratorio de asfaltos
técnico de laboratorio de obra
técnica de laboratorio de suelos (asfalto)",,3116,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,asistente en educación primaria,"ayudante técnica educativa
ayudante técnico educativo
auxiliar pedagógica de escuela primaria
auxiliar pedagógico de escuela primaria",,5312,http://data.europa.eu/ux2/nace2.1/852,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,fisioterapeuta,,,2264,http://data.europa.eu/ux2/nace2.1/8695,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,profesor de teatro en escuela superior de artes escénicas/profesora de teatro en escuela superior de artes escénicas,"profesora de teatro en escuela superior de artes escénicas
profesor de arte dramático en escuela superior de artes escénicas
profesor de teatro en escuela superior de artes escénicas
profesora de arte dramático en escuela superior de artes escénicas",,2310,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,operario de equipos de hidrogenación/operaria de equipos de hidrogenación,"operador de equipos de hidrogenación
encargado de equipos de hidrogenación
encargada de equipos de hidrogenación
operadora de equipos de hidrogenación
responsable de equipos de hidrogenación",,8160,http://data.europa.eu/ux2/nace2.1/104,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,operario de fabricación de pasta/operaria de fabricación de pasta,"encargada del funcionamiento de la máquina para la fabricación de pasta
responsable del funcionamiento de la máquina para la fabricación de pasta
operario de la máquina para la fabricación de pasta
operaria de la máquina para la fabricación de pasta
encargado del funcionamiento de la máquina para la fabricación de pasta",,8160,http://data.europa.eu/ux2/nace2.1/1073,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,gerente de tienda de tabaco,"responsable de tienda de tabaco y artículos de tabaquería
gerente de estanco
responsable de estanco",,1420,http://data.europa.eu/ux2/nace2.1/4726,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,representante de servicio de alquiler de otras máquinas y equipos,,,5249,http://data.europa.eu/ux2/nace2.1/7739,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,jefe de planificación de mina/jefa de planificación de mina,"supervisor de mina
supervisora de mina
topógrafo minero
jefe de planificación de mina
topógrafa minera
jefa de planificación de mina",,2165,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/0891,
http://data.europa.eu/ux2/nace2.1/07,
http://data.europa.eu/ux2/nace2.1/4312,
http://data.europa.eu/ux2/nace2.1/0899",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,especialista en seguridad alimentaria,"inspector de alimentos
inspectora de alimentos
especialista en higiene de los alimentos",,2263,http://data.europa.eu/ux2/nace2.1/10,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,técnico de mantenimiento de maquinaria agrícola/técnica de mantenimiento de maquinaria agrícola,"técnico de mantenimiento de maquinaria agrícola
técnico especialista en matenimiento de maquinaria agrícola
técnica especializada en el mantenimiento de maquinaria
técnica de mantenimiento de maquinaria agrícola
técnica especialista en matenimiento de maquinaria agrícola
técnico especializado en el mantenimiento de maquinaria
especialista en mantenimiento de maquinaria agrícola",,7233,http://data.europa.eu/ux2/nace2.1/3312,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,conductor de autobús/conductora de autobús,"conductor de autobús internacional
conductora de autobús interurbano
conductora de autobús
conductora de autobús internacional
conductora de autobús urbano
conductora de autobús turístico
conductor de autobús interurbano
conductor de autobús
conductor de autobús turístico
conductora de autobús escolar
conductor de autobús urbano
conductor de autobús escolar",,8331,"http://data.europa.eu/ux2/nace2.1/4931,
http://data.europa.eu/ux2/nace2.1/4932",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,director de importación y exportación de carne y productos cárnicos/directora de importación y exportación de carne y productos cárnicos,"director de importación y exportación de carne y productos cárnicos
directora de importación y exportación de carne y productos cárnicos
responsable de importación y exportación de carne y productos cárnicos",,1324,"http://data.europa.eu/ux2/nace2.1/4617,
http://data.europa.eu/ux2/nace2.1/4632",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,responsable de políticas de vivienda,,,2422,http://data.europa.eu/ux2/nace2.1/8412,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,jefe de cocina/jefa de cocina,"responsable de cocina
jefe de cocina
jefa de cocina
chef de cocina
cocinero jefe
cocinera jefe
encargada de la cocina
encargado de la cocina",,3434,http://data.europa.eu/ux2/nace2.1/5611,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,"operador de máquinas de preparación de fibras, hilado y devanado /operadora de máquinas de preparación de fibras, hilado y devanado","operadora de máquinas para elaborar filamentos no tejidos
operador de máquinas de preparación de fibras, hilado y devanado
operador de máquinas para elaborar filamentos no tejidos
operadora de máquinas para fabricar filamentos no tejidos
operadora de máquinas de preparación de fibras, hilado y devanado
operador de máquinas para fabricar filamentos no tejidos",,8131,http://data.europa.eu/ux2/nace2.1/1395,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,director de instituciones de enseñanza superior/directora de instituciones de enseñanza superior,"director de instituciones de enseñanza superior
directora de instituciones de enseñanza superior
rector
rectora",,1345,http://data.europa.eu/ux2/nace2.1/8569,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,supervisor de instalaciones de aislamiento/supervisora de instalaciones de aislamiento,"instalador de material aislante
instaladora de material aislante
instaladora de aislamientos
supervisora de instalaciones de aislamiento
supervisor de instalaciones de aislamiento
instalador de aislamientos",,3123,http://data.europa.eu/ux2/nace2.1/4323,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,ingeniero especializado en desmantelamiento de equipos industriales y edificios/ingeniera especializada en desmantelamiento de equipos industriales y edificios,"técnica de desmantelamiento de equipos industriales y edificios
ingeniera especializada en desmantelamiento de equipos industriales y edificios
técnico de desmantelamiento de equipos industriales y edificios
ingeniero especializado en desmantelamiento de equipos industriales y edificios",,2149,"http://data.europa.eu/ux2/nace2.1/7112,
http://data.europa.eu/ux2/nace2.1/3821",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,supervisor de seguros/supervisora de seguros,"técnico en seguros
técnica en seguros
perita de seguros
supervisor de seguros
perita judicial técnica en seguros, contratos y garantías
técnico de indemnizaciones
técnica de indemnizaciones
controlador de indemnizaciones
perito judicial técnico en seguros, contratos y garantías
supervisora de seguros
especialista en gestión de quejas y reclamaciones en seguros
controladora de indemnizaciones
perito de seguros",,3315,http://data.europa.eu/ux2/nace2.1/6621,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,director de desarrollo de prendas de vestir/directora de desarrollo de prendas de vestir/,"director de desarrollo de prendas de vestir
directora de desarrollo de prendas de vestir/",,1223,http://data.europa.eu/ux2/nace2.1/14,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,redactor de temas sanitarios/redactora de temas sanitarios,"editor médico
escritor médico regulador
asociado publicaciones médicas
analista de información médica
redactora de temas sanitarios
escritor médico de investigación
redactor de temas sanitarios",,2641,http://data.europa.eu/ux2/nace2.1/721,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,operador de separación de nitroglicerina/operadora de separación de nitroglicerina,"operador de separación de nitroglicerina
operadora de separación de nitroglicerina",,8131,http://data.europa.eu/ux2/nace2.1/2059,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,ingeniero biomédico/ingeniera biomédica,"ingeniera biomédica
ingeniero biomédico",,2149,"http://data.europa.eu/ux2/nace2.1/721,
http://data.europa.eu/ux2/nace2.1/7112",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,tutor legal/tutora legal,"tutora legal
tutor legal",,3412,http://data.europa.eu/ux2/nace2.1/691,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,tejedor/tejedora,"tejedor
tejedora",,7318,http://data.europa.eu/ux2/nace2.1/132,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,alicatador/alicatadora,"alicatadora
alicatador",,7122,http://data.europa.eu/ux2/nace2.1/4333,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,gerente de tienda de calzado y accesorios de piel,,,1420,http://data.europa.eu/ux2/nace2.1/4772,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,director de tour operador/directora de tour operador,"encargado de operadores turísticos
responsable de operadores turísticos
gerente de operadores turísticos
director de agencia de viajes mayorista
gerenta de operadores turísticos
encargada de operadores turísticos
director de tour operador
directora de operadores turísticos
directora de agencia de viajes mayorista
director de operadores turísticos
directora de tour operador",,1439,"http://data.europa.eu/ux2/nace2.1/799,
http://data.europa.eu/ux2/nace2.1/7912",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,apicultor/apicultora,"criadora de abejas
criador de abejas
apicultora
apicultor",,6123,http://data.europa.eu/ux2/nace2.1/0148,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,empleado administrativo en el ámbito jurídico-legal/empleada administrativo en el ámbito jurídico-legal,"empleada administrativa en el ámbito jurídico-legal
auxiliar administrativa para departamento jurídico
auxiliar administrativa para despacho de abogados
administrativa de notaría
empleado administrativo en el ámbito jurídico-legal
oficial de notaría
auxiliar administrativo para despacho de abogados
auxiliar administrativo para departamento jurídico
administrativo de notaría
empleada administrativa (experiencia o conocimientos en el ámbito jurídico)
empleado administrativo (experiencia o conocimientos en el ámbito jurídico)",,3342,"http://data.europa.eu/ux2/nace2.1/691,
http://data.europa.eu/ux2/nace2.1/8411,
http://data.europa.eu/ux2/nace2.1/701",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,operador de equipo en estación de bombeo de petróleo/operadora de equipo en estación de bombeo de petróleo,"operadora de sistema de bombeo de petróleo
operador de cuadro de control
operador de refinería
operadora de cuadro de control
operador de equipo en estación de bombeo de petróleo
operadora de refinería
operadora de estación de bombeo
operadora de sala de control
operador de sistema de bombeo de petróleo
operador de sala de control
operador de estación de bombeo
operadora de equipo en estación de bombeo de petróleo",,3134,http://data.europa.eu/ux2/nace2.1/192,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/029a5b78-4d1c-4cf9-a2d2-bb8d8729b8a3,confeccionista de ropa de protección,confeccionista de ropa de seguridad,,8153,http://data.europa.eu/ux2/nace2.1/142,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,operador de máquina recubridora de metales/operadora de máquina recubridora de metales,"operadora de máquina recubridora de metales
operador de máquina recubridora de metales",,8122,http://data.europa.eu/ux2/nace2.1/2551,,http://data.europa.eu/esco/regulated-professions/regulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,responsable de cultivos acuícolas,"director de criadero acuícola
directora de criadero acuícola",,6221,http://data.europa.eu/ux2/nace2.1/032,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,operario especializado en engranajes de automoción/operaria especializada en engranajes de automoción,"operaria especializada en engranajes de automoción
operario especializado en engranajes de automoción",,7223,http://data.europa.eu/ux2/nace2.1/2815,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
