departamento,no_ocupados,mujeres_pct
AMAZONAS,196,
ANTIOQUIA,397790,
ARAUCA,5343,
ARCHIPIÉLAGO DE SAN ANDRÉS,2516,
ATLÁNTICO,95156,
BOGOTÁ,398569,
BOLÍVAR,82357,
BOYACÁ,73567,
CALDAS,40642,
CAQUETÁ,21822,
CASANARE,7914,
CAUCA,38297,
CESAR,64980,
CHOCÓ,24702,
CUNDINAMARCA,160018,
CÓRDOBA,97081,
GUAINÍA,675,
GUAVIARE,929,
HUILA,34905,
LA GUAJIRA,45979,
MAGDALENA,71016,
META,39263,
NARIÑO,52345,
NORTE DE SANTANDER,92009,
PUTUMAYO,4061,
QUINDÍO,32283,
RISARALDA,34500,
SANTANDER,101308,
SUCRE,47668,
TOLIMA,62333,
VALLE DEL CAUCA,215967,
VAUPÉS,560,
VICHADA,1068,
