periodo,ano,mes,DPTO,pea,desempleados,tasa
2022-02,2022,2,5,2855437.8404865996,258217.285950254,9.04
2022-02,2022,2,8,1088332.6352851982,70735.93949905,6.5
2022-02,2022,2,11,4018951.79485498,421183.70247086004,10.48
2022-02,2022,2,13,830478.75947504,73038.90692231,8.79
2022-02,2022,2,15,488375.207366275,63416.14780666299,12.99
2022-02,2022,2,17,425790.233842814,34385.260114401004,8.08
2022-02,2022,2,18,160966.300553307,10048.198516417,6.24
2022-02,2022,2,19,563810.4102172109,43890.555683968996,7.78
2022-02,2022,2,20,505989.27144999296,82344.182416656,16.27
2022-02,2022,2,23,730549.8509677929,77937.82438610401,10.67
2022-02,2022,2,25,1509003.6827808148,202138.5693049,13.4
2022-02,2022,2,27,181284.127204581,9661.129493607,5.33
2022-02,2022,2,41,464705.926925066,45409.074372809,9.77
2022-02,2022,2,44,381230.78947296797,29547.933327756997,7.75
2022-02,2022,2,47,544019.898285952,48662.358821702,8.94
2022-02,2022,2,50,480939.374607146,58966.26897587,12.26
2022-02,2022,2,52,692670.441453887,27646.121501303,3.99
2022-02,2022,2,54,643758.8640065601,64345.95453972,10.0
2022-02,2022,2,63,252674.83228345297,22211.219389271002,8.79
2022-02,2022,2,66,445469.9772623209,52904.640715713,11.88
2022-02,2022,2,68,991325.277952696,59306.89141288,5.98
2022-02,2022,2,70,440520.007959591,34115.521371471004,7.74
2022-02,2022,2,73,576004.7586857299,92616.28387568,16.08
2022-02,2022,2,76,1966452.595697261,227509.05561159994,11.57
2022-02,2022,2,81,33893.881157276,9070.245147342,26.76
2022-02,2022,2,85,80657.93034,8733.08801301,10.83
2022-02,2022,2,86,22605.089326767,6043.746836828001,26.74
2022-02,2022,2,88,21654.203295429,1061.0714152720002,4.9
2022-02,2022,2,91,16011.331157155002,2284.207282528,14.27
2022-02,2022,2,94,9278.252043599,745.295864598,8.03
2022-02,2022,2,95,17146.221905537997,869.425024022,5.07
2022-02,2022,2,97,3978.1020810014,217.214664112,5.46
2022-02,2022,2,99,7617.233589534,1269.4714873469998,16.67
2022-03,2022,3,5,3073150.406850297,216718.77241906,7.05
2022-03,2022,3,8,1089099.476037543,67764.633783093,6.22
2022-03,2022,3,11,4064455.7815961298,459922.29305760004,11.32
2022-03,2022,3,13,853663.040504601,87816.193024515,10.29
2022-03,2022,3,15,544861.3930894099,37614.207680955995,6.9
2022-03,2022,3,17,419817.519155044,35548.394737701,8.47
2022-03,2022,3,18,156211.91849508,6627.244776622,4.24
2022-03,2022,3,19,540560.935403063,47413.841582279,8.77
2022-03,2022,3,20,468663.92019894393,56500.574626744,12.06
2022-03,2022,3,23,712979.589599385,73275.276604544,10.28
2022-03,2022,3,25,1418091.0292293578,164720.89736387398,11.62
2022-03,2022,3,27,174569.228700828,9178.048821639,5.26
2022-03,2022,3,41,443046.823302454,39240.39596023099,8.86
2022-03,2022,3,44,397400.441552028,26757.317740912004,6.73
2022-03,2022,3,47,518554.61057912,40278.08587417201,7.77
2022-03,2022,3,50,492971.60998942703,49107.79750432201,9.96
2022-03,2022,3,52,670828.257992903,24289.975274723,3.62
2022-03,2022,3,54,654304.54431636,66500.352136,10.16
2022-03,2022,3,63,250830.51499853702,24749.785341657,9.87
2022-03,2022,3,66,423899.289637284,47059.009990433995,11.1
2022-03,2022,3,68,962247.041361971,83760.16912122001,8.7
2022-03,2022,3,70,382586.83682667895,25755.452674878,6.73
2022-03,2022,3,73,567569.8218552901,76472.52071074,13.47
2022-03,2022,3,76,1927578.690494909,175963.45324414,9.13
2022-03,2022,3,81,35735.047406907,8342.012718884,23.34
2022-03,2022,3,85,81269.86499761001,9934.148440879999,12.22
2022-03,2022,3,86,21339.632942250995,5004.784658299999,23.45
2022-03,2022,3,88,22992.893317118,978.087425235,4.25
2022-03,2022,3,91,16329.657059534,2073.977763365,12.7
2022-03,2022,3,94,8486.289094431999,677.2495024980001,7.98
2022-03,2022,3,95,20068.379559614,369.522105913,1.84
2022-03,2022,3,97,3932.1470036711,168.01318814299998,4.27
2022-03,2022,3,99,7671.891116006,1928.3145451860003,25.13
2022-04,2022,4,5,2938797.116071786,150903.18973782597,5.13
2022-04,2022,4,8,1067901.05537977,44999.60541832,4.21
2022-04,2022,4,11,4011095.52371272,372595.76722370996,9.29
2022-04,2022,4,13,811619.7971361671,66037.112160599,8.14
2022-04,2022,4,15,548960.136528059,23668.927316014997,4.31
2022-04,2022,4,17,399125.932080122,26407.224408918002,6.62
2022-04,2022,4,18,163448.241640666,8372.980559609001,5.12
2022-04,2022,4,19,563166.05703366,21429.866433125,3.81
2022-04,2022,4,20,488864.561451844,57071.267552656995,11.67
2022-04,2022,4,23,704926.6380211811,82753.72979200001,11.74
2022-04,2022,4,25,1399568.296608231,139810.59515998902,9.99
2022-04,2022,4,27,133099.684553708,5626.306228364,4.23
2022-04,2022,4,41,423313.99721450603,39129.23887122399,9.24
2022-04,2022,4,44,356157.721126971,28714.965232931,8.06
2022-04,2022,4,47,501328.749782659,34761.926590346004,6.93
2022-04,2022,4,50,460824.13555217,58262.946636117995,12.64
2022-04,2022,4,52,546079.733367451,33055.824059620994,6.05
2022-04,2022,4,54,684240.637172578,63786.02178412001,9.32
2022-04,2022,4,63,242881.360733043,24155.014327243996,9.95
2022-04,2022,4,66,415076.604254037,37991.31630159,9.15
2022-04,2022,4,68,907141.3850229139,63657.480254259994,7.02
2022-04,2022,4,70,400204.95961733104,29289.338460789008,7.32
2022-04,2022,4,73,537134.63064031,93657.15933842,17.44
2022-04,2022,4,76,1939856.243658286,194843.67371961402,10.04
2022-04,2022,4,81,37298.533252406996,9831.81621774,26.36
2022-04,2022,4,85,80961.24599169,12210.537310750002,15.08
2022-04,2022,4,86,18051.601825432,4181.465935436,23.16
2022-04,2022,4,88,21009.93810661,904.68773318,4.31
2022-04,2022,4,91,15558.92925722,1392.710846138,8.95
2022-04,2022,4,94,9282.417802707001,965.2419026120001,10.4
2022-04,2022,4,95,16880.238683016996,408.857915709,2.42
2022-04,2022,4,97,3940.8684510568,142.2645983408,3.61
2022-04,2022,4,99,7072.011515664,1117.147847224,15.8
2022-05,2022,5,5,3009241.6520080697,221474.20193133,7.36
2022-05,2022,5,8,1046010.387338831,47278.95080889599,4.52
2022-05,2022,5,11,4063149.95314114,333898.2696924,8.22
2022-05,2022,5,13,857959.28708436,74164.19529614999,8.64
2022-05,2022,5,15,557221.5589221059,48251.469484208996,8.66
2022-05,2022,5,17,392619.07303893,17394.898284809,4.43
2022-05,2022,5,18,162608.916509418,8563.413339341,5.27
2022-05,2022,5,19,636813.671260719,31104.866970578,4.88
2022-05,2022,5,20,470632.968947534,47941.948053096996,10.19
2022-05,2022,5,23,664423.8304532759,59855.15684556,9.01
2022-05,2022,5,25,1456305.9006162118,155700.14310174398,10.69
2022-05,2022,5,27,159990.970826025,11234.56781719,7.02
2022-05,2022,5,41,482881.608500071,31846.324012627,6.6
2022-05,2022,5,44,405360.71743511903,21121.838072071,5.21
2022-05,2022,5,47,510504.016307094,32047.557105628002,6.28
2022-05,2022,5,50,513257.698532893,50007.07694065099,9.74
2022-05,2022,5,52,642060.9880977849,24608.317133290002,3.83
2022-05,2022,5,54,690450.65047481,67424.53369049,9.77
2022-05,2022,5,63,227431.628370127,23141.394707731997,10.18
2022-05,2022,5,66,428620.634122212,31635.657930907,7.38
2022-05,2022,5,68,1002018.729388517,73766.27593561,7.36
2022-05,2022,5,70,364507.94083547103,26083.448149913,7.16
2022-05,2022,5,73,551659.626420112,73589.98416444001,13.34
2022-05,2022,5,76,2086628.621963393,169698.72251349603,8.13
2022-05,2022,5,81,39805.68350743,10152.373917989999,25.5
2022-05,2022,5,85,77479.56395296,7190.611060960001,9.28
2022-05,2022,5,86,18519.922960382,3634.5185646940004,19.62
2022-05,2022,5,88,21036.881407032,1139.163375565,5.42
2022-05,2022,5,91,15375.304902812999,1509.916484971,9.82
2022-05,2022,5,94,10181.839288299001,1197.9585342419998,11.77
2022-05,2022,5,95,18869.48152046,430.721183108,2.28
2022-05,2022,5,97,4853.943327677,98.170802619,2.02
2022-05,2022,5,99,7451.504441524,759.030734557,10.19
2022-06,2022,6,5,2923075.529477559,206438.62541484,7.06
2022-06,2022,6,8,1077572.937717874,49149.629035440004,4.56
2022-06,2022,6,11,4000927.8707464496,387508.16608600994,9.69
2022-06,2022,6,13,822800.3175164701,88462.97047253,10.75
2022-06,2022,6,15,539155.163711075,19914.816611625996,3.69
2022-06,2022,6,17,411369.346337972,27678.144762884996,6.73
2022-06,2022,6,18,163472.512284166,10339.346519755001,6.32
2022-06,2022,6,19,560032.80350323,14754.808485639998,2.63
2022-06,2022,6,20,484678.355810088,38972.702518426,8.04
2022-06,2022,6,23,736110.035366772,77959.96923950198,10.59
2022-06,2022,6,25,1535615.63935513,115712.622648656,7.54
2022-06,2022,6,27,117423.54595012401,10980.752360294,9.35
2022-06,2022,6,41,438443.06466807204,30596.053423009,6.98
2022-06,2022,6,44,344048.877268745,13398.275102924,3.89
2022-06,2022,6,47,534605.507910265,29132.602125657002,5.45
2022-06,2022,6,50,455841.87208383204,53940.42552758,11.83
2022-06,2022,6,52,692429.6296311379,28472.252394049,4.11
2022-06,2022,6,54,694815.75459003,78153.37555184,11.25
2022-06,2022,6,63,245991.768352536,24219.143990581004,9.85
2022-06,2022,6,66,443742.059535217,46112.801361934995,10.39
2022-06,2022,6,68,925143.79127129,92436.04308528002,9.99
2022-06,2022,6,70,365185.845078492,33590.841558626,9.2
2022-06,2022,6,73,530555.79843736,74218.48802845001,13.99
2022-06,2022,6,76,1997067.887936355,159223.50870200002,7.97
2022-06,2022,6,81,40706.05622265799,5606.033551188,13.77
2022-06,2022,6,85,84108.66334549,10659.26904629,12.67
2022-06,2022,6,86,18951.422024279,3641.4878565,19.21
2022-06,2022,6,88,21468.198884046004,810.8946205859999,3.78
2022-06,2022,6,91,14619.785177916001,1728.5116617469998,11.82
2022-06,2022,6,94,9127.789268196,615.2089650180001,6.74
2022-06,2022,6,95,16487.09542881,1114.108359531,6.76
2022-06,2022,6,97,4555.349855189001,43.145396902,0.95
2022-06,2022,6,99,6714.174152075001,594.407525941,8.85
2022-07,2022,7,5,2939015.364450576,176231.01819525,6.0
2022-07,2022,7,8,1060479.4117860901,81190.87806460001,7.66
2022-07,2022,7,11,3860190.74847636,318896.38523392,8.26
2022-07,2022,7,13,867618.71162173,69799.38235303,8.04
2022-07,2022,7,15,530776.5034249099,34890.063607234006,6.57
2022-07,2022,7,17,379913.499042132,21332.889105526003,5.62
2022-07,2022,7,18,159142.980099148,10759.265154186,6.76
2022-07,2022,7,19,589258.835037509,34242.861044503006,5.81
2022-07,2022,7,20,473138.063628486,48851.419632785,10.32
2022-07,2022,7,23,730595.9869013249,70245.53900169401,9.61
2022-07,2022,7,25,1515164.63592775,170802.48554413198,11.27
2022-07,2022,7,27,153661.522759069,13812.586777110999,8.99
2022-07,2022,7,41,451839.490246441,28277.247983953002,6.26
2022-07,2022,7,44,362888.906417178,27861.636491556,7.68
2022-07,2022,7,47,532625.9381281261,35988.659164519995,6.76
2022-07,2022,7,50,485832.8345233201,45586.380650549996,9.38
2022-07,2022,7,52,710217.5431381409,26386.067843182995,3.72
2022-07,2022,7,54,719746.715000466,68742.44335149,9.55
2022-07,2022,7,63,242806.130022814,29238.160982395002,12.04
2022-07,2022,7,66,436253.79732222203,40981.696479822,9.39
2022-07,2022,7,68,985477.8628437698,95193.30356169998,9.66
2022-07,2022,7,70,384611.659062971,25656.877427335,6.67
2022-07,2022,7,73,509515.44248436997,80868.20077077,15.87
2022-07,2022,7,76,2000501.788637762,164279.72611405,8.21
2022-07,2022,7,81,38901.905845656,7379.118254997999,18.97
2022-07,2022,7,85,79403.00771792,8029.23492431,10.11
2022-07,2022,7,86,18810.130360416,3301.8583414910004,17.55
2022-07,2022,7,88,20468.938513513,1545.417236085,7.55
2022-07,2022,7,91,14181.376203647,1489.1091028160001,10.5
2022-07,2022,7,94,9364.473232834,293.703502699,3.14
2022-07,2022,7,95,17530.164932695,278.29445394100003,1.59
2022-07,2022,7,97,4546.947908919,306.522316048,6.74
2022-07,2022,7,99,7720.7971132210005,992.7745054150001,12.86
2022-08,2022,8,5,2951726.4463861943,179829.578949131,6.09
2022-08,2022,8,8,1141655.359110697,68692.69491678,6.02
2022-08,2022,8,11,3952418.0136513403,362413.85824679997,9.17
2022-08,2022,8,13,830851.124756028,67364.38428589,8.11
2022-08,2022,8,15,550122.100620439,21032.167421231003,3.82
2022-08,2022,8,17,411344.89531403396,30235.457147551,7.35
2022-08,2022,8,18,121137.723731219,9419.236309663,7.78
2022-08,2022,8,19,543846.2100158371,40073.984078179004,7.37
2022-08,2022,8,20,487355.58523405995,64636.29643557999,13.26
2022-08,2022,8,23,675261.0869022049,74167.151838362,10.98
2022-08,2022,8,25,1451899.6836742891,122374.65686766399,8.43
2022-08,2022,8,27,142628.93305549098,10332.891255266,7.24
2022-08,2022,8,41,452625.34899635095,30062.812046544,6.64
2022-08,2022,8,44,385594.00642252003,23547.036248712,6.11
2022-08,2022,8,47,530757.158789552,29049.78433891,5.47
2022-08,2022,8,50,460087.65522646,41796.904082110006,9.08
2022-08,2022,8,52,730110.4012306711,23460.812589962996,3.21
2022-08,2022,8,54,675578.964143036,63260.12382152001,9.36
2022-08,2022,8,63,251638.361551348,24540.409194999003,9.75
2022-08,2022,8,66,429904.669501262,37078.22257659,8.62
2022-08,2022,8,68,980976.2061157681,70221.43179721001,7.16
2022-08,2022,8,70,395534.230299453,21970.718546695,5.55
2022-08,2022,8,73,530708.347339405,93486.81641303003,17.62
2022-08,2022,8,76,1906884.390961373,116849.84129445002,6.13
2022-08,2022,8,81,36475.573473191005,7187.021635169999,19.7
2022-08,2022,8,85,79724.11070473798,8373.203059970001,10.5
2022-08,2022,8,86,17383.217534985997,3653.696116777,21.02
2022-08,2022,8,88,22682.4273338,1470.6452884660002,6.48
2022-08,2022,8,91,14735.933441604,1015.8562013950001,6.89
2022-08,2022,8,94,10516.703351093001,603.0403470800001,5.73
2022-08,2022,8,95,17868.994260749,257.248621072,1.44
2022-08,2022,8,97,4880.966459611999,27.071702934,0.55
2022-08,2022,8,99,7499.492152380999,536.522463524,7.15
2022-09,2022,9,5,2919411.4863331905,164921.51054102,5.65
2022-09,2022,9,8,1114514.036264957,48384.22347454,4.34
2022-09,2022,9,11,3956722.48429038,288033.36787038,7.28
2022-09,2022,9,13,842691.25381958,57964.366555780005,6.88
2022-09,2022,9,15,509925.1537312219,34054.059737,6.68
2022-09,2022,9,17,431031.459910547,24659.937737234,5.72
2022-09,2022,9,18,173962.503943141,9728.718044924999,5.59
2022-09,2022,9,19,570912.04839711,10982.830660606998,1.92
2022-09,2022,9,20,476814.01244236506,55970.755976989996,11.74
2022-09,2022,9,23,674804.00543547,88641.50072203,13.14
2022-09,2022,9,25,1455267.0199036938,127310.750180836,8.75
2022-09,2022,9,27,163664.845330912,13467.054446957001,8.23
2022-09,2022,9,41,464503.638127835,26042.429847036,5.61
