dpto,rama_ciiu,empleo,periodo,ano,mes
5,1,292629.034521021,2022-02,2022,2
5,3,4149.742979,2022-02,2022,2
5,7,48535.5357882,2022-02,2022,2
5,10,100248.91055632,2022-02,2022,2
5,11,4756.31698754,2022-02,2022,2
5,13,27090.0811114,2022-02,2022,2
5,14,116875.39283106,2022-02,2022,2
5,15,12115.56108691,2022-02,2022,2
5,16,11600.098290856,2022-02,2022,2
5,17,3133.0446362800003,2022-02,2022,2
5,18,5474.99898495,2022-02,2022,2
5,20,19515.02900119,2022-02,2022,2
5,21,6624.7613013499995,2022-02,2022,2
5,22,28540.65010138,2022-02,2022,2
5,23,20351.62234114,2022-02,2022,2
5,24,1184.1322197,2022-02,2022,2
5,25,29592.717270549,2022-02,2022,2
5,26,551.95589176,2022-02,2022,2
5,27,7342.933886549999,2022-02,2022,2
5,28,2751.75199331,2022-02,2022,2
5,29,11546.92784022,2022-02,2022,2
5,30,1668.1473509,2022-02,2022,2
5,31,35774.68009599,2022-02,2022,2
5,32,31870.57787466,2022-02,2022,2
5,33,2833.35165179,2022-02,2022,2
5,35,18641.09818998,2022-02,2022,2
5,36,1223.53528247,2022-02,2022,2
5,38,24397.426538380998,2022-02,2022,2
5,41,131208.176134891,2022-02,2022,2
5,42,33120.921012514,2022-02,2022,2
5,43,71981.282282689,2022-02,2022,2
5,45,80866.76491051,2022-02,2022,2
5,46,50222.906105464004,2022-02,2022,2
5,47,410564.171592841,2022-02,2022,2
5,49,118584.774084509,2022-02,2022,2
5,50,2155.3749978,2022-02,2022,2
5,51,1598.008999669,2022-02,2022,2
5,52,21038.363871284,2022-02,2022,2
5,53,17518.2306917,2022-02,2022,2
5,55,17414.636269839,2022-02,2022,2
5,56,149657.514807621,2022-02,2022,2
5,58,1053.4003971,2022-02,2022,2
5,59,3242.7837261,2022-02,2022,2
5,60,1119.6587125,2022-02,2022,2
5,61,18615.0739888,2022-02,2022,2
5,62,19646.83697018,2022-02,2022,2
5,63,4408.9937687,2022-02,2022,2
5,64,37533.51525584,2022-02,2022,2
5,65,9999.57992016,2022-02,2022,2
5,66,1982.47029997,2022-02,2022,2
5,68,16077.91981093,2022-02,2022,2
5,69,27260.75690733,2022-02,2022,2
5,70,7053.39632247,2022-02,2022,2
5,71,26073.31642961,2022-02,2022,2
5,73,17089.99864198,2022-02,2022,2
5,74,10013.46753281,2022-02,2022,2
5,75,2268.79979712,2022-02,2022,2
5,77,7956.0765719,2022-02,2022,2
5,78,8913.64322776,2022-02,2022,2
5,79,753.53868528,2022-02,2022,2
5,80,34113.809533269,2022-02,2022,2
5,81,51478.828457,2022-02,2022,2
5,82,64410.86243105,2022-02,2022,2
5,84,52164.51603108,2022-02,2022,2
5,85,97025.33583599,2022-02,2022,2
5,86,106439.81398424,2022-02,2022,2
5,87,8966.068318040001,2022-02,2022,2
5,88,10383.796118839,2022-02,2022,2
5,90,4853.856405709999,2022-02,2022,2
5,91,6745.6053861,2022-02,2022,2
5,92,25741.23535536,2022-02,2022,2
5,93,12141.626563043,2022-02,2022,2
5,94,17232.87150296,2022-02,2022,2
5,95,20645.20874549,2022-02,2022,2
5,96,88877.021421109,2022-02,2022,2
5,97,93036.375475088,2022-02,2022,2
8,1,35299.640440298,2022-02,2022,2
8,2,1142.3918617,2022-02,2022,2
8,3,4226.03706049,2022-02,2022,2
8,5,744.12779815,2022-02,2022,2
8,9,659.47495847,2022-02,2022,2
8,10,19438.44383323,2022-02,2022,2
8,11,6105.25198015,2022-02,2022,2
8,13,6569.76609929,2022-02,2022,2
8,14,24245.14521543,2022-02,2022,2
8,15,5634.32110241,2022-02,2022,2
8,16,1795.81811751,2022-02,2022,2
8,17,3176.3769881,2022-02,2022,2
8,18,2897.30880312,2022-02,2022,2
8,19,565.52712286,2022-02,2022,2
8,20,8621.42200721,2022-02,2022,2
8,21,4285.63145765,2022-02,2022,2
8,22,12397.52418236,2022-02,2022,2
8,23,4277.681752018,2022-02,2022,2
8,24,1340.4117984700001,2022-02,2022,2
8,25,12872.36008096,2022-02,2022,2
8,27,1586.00844682,2022-02,2022,2
