rama_ciiu,empleo,periodo,ano,mes,salario_promedio
0,9013.171850491,2022-02,2022,2,6148489.0
1,2969331.450786053,2022-02,2022,2,743678.0
2,28768.379081977,2022-02,2022,2,461213.0
3,129445.447661144,2022-02,2022,2,535508.0
5,11678.270527608,2022-02,2022,2,3265406.0
6,23560.877866922,2022-02,2022,2,3403199.0
7,122545.89024744,2022-02,2022,2,588588.0
8,26049.183679028,2022-02,2022,2,927751.0
9,10615.331469986,2022-02,2022,2,3236983.0
10,456344.012448517,2022-02,2022,2,1163049.0
11,39055.846808012,2022-02,2022,2,1492482.0
12,121.27756948,2022-02,2022,2,300000.0
13,97690.645591992,2022-02,2022,2,1045570.0
14,411650.935299683,2022-02,2022,2,801292.0
15,197151.215886809,2022-02,2022,2,638722.0
16,105366.569137057,2022-02,2022,2,772651.0
17,32341.436465066,2022-02,2022,2,1285767.0
18,32940.490467574,2022-02,2022,2,1022270.0
19,3503.39298867,2022-02,2022,2,2111940.0
20,84082.490751838,2022-02,2022,2,2327984.0
21,47587.21761015,2022-02,2022,2,2086954.0
22,99479.249988817,2022-02,2022,2,1473493.0
23,97013.868932222,2022-02,2022,2,1129923.0
24,5908.908990724,2022-02,2022,2,1757647.0
25,197707.210025913,2022-02,2022,2,1169148.0
26,7166.539882852,2022-02,2022,2,1063393.0
27,37628.714105984,2022-02,2022,2,1310747.0
28,12687.25267705,2022-02,2022,2,1220621.0
29,21353.62358384,2022-02,2022,2,1523447.0
30,7949.119192259001,2022-02,2022,2,2127228.0
31,175350.477807805,2022-02,2022,2,1105654.0
32,105631.188473918,2022-02,2022,2,613383.0
33,58538.128744785005,2022-02,2022,2,1663744.0
35,89023.471264853,2022-02,2022,2,2293624.0
36,25394.525421139002,2022-02,2022,2,1486671.0
37,5388.787645316,2022-02,2022,2,1599014.0
38,160528.908199153,2022-02,2022,2,644203.0
39,65.841968944,2022-02,2022,2,1000000.0
41,1021650.763937209,2022-02,2022,2,995850.0
42,193377.27972463,2022-02,2022,2,1533157.0
43,337109.404083648,2022-02,2022,2,1284339.0
45,656416.016133105,2022-02,2022,2,1308319.0
46,502349.218313293,2022-02,2022,2,1354339.0
47,2902438.903256408,2022-02,2022,2,1041916.0
49,1103956.8557544488,2022-02,2022,2,984381.0
50,12613.654623922,2022-02,2022,2,2312069.0
51,20635.584871526,2022-02,2022,2,2543498.0
52,234388.884443676,2022-02,2022,2,1429743.0
53,116738.969708894,2022-02,2022,2,1060675.0
55,125544.647727098,2022-02,2022,2,1107967.0
56,1350081.278068459,2022-02,2022,2,806115.0
58,15538.734643869999,2022-02,2022,2,3846109.0
59,17592.119510878,2022-02,2022,2,1267293.0
60,31005.322207754998,2022-02,2022,2,4696145.0
61,172111.619003114,2022-02,2022,2,1553146.0
62,150248.088216164,2022-02,2022,2,3902821.0
63,12834.345041059,2022-02,2022,2,1693531.0
64,302456.70372609503,2022-02,2022,2,2469716.0
65,96522.155899148,2022-02,2022,2,2999247.0
66,10927.077219211,2022-02,2022,2,5643729.0
68,176429.139037739,2022-02,2022,2,1508218.0
69,242492.946237816,2022-02,2022,2,2717204.0
70,76444.332175643,2022-02,2022,2,2720919.0
71,129464.31517595,2022-02,2022,2,3648603.0
72,6749.254284231,2022-02,2022,2,4750859.0
73,106789.844260188,2022-02,2022,2,1866006.0
74,85009.153966341,2022-02,2022,2,1891935.0
75,22851.034720815,2022-02,2022,2,1506103.0
77,38758.393730499,2022-02,2022,2,1259587.0
78,59001.929427564,2022-02,2022,2,4318681.0
79,27333.773474371,2022-02,2022,2,1511957.0
80,210003.826466504,2022-02,2022,2,1227597.0
81,486936.181524701,2022-02,2022,2,561822.0
82,285973.866311502,2022-02,2022,2,1485250.0
84,680331.5721879643,2022-02,2022,2,3012432.0
85,904360.301100798,2022-02,2022,2,2400938.0
86,796734.671514467,2022-02,2022,2,2074962.0
87,34523.028379369,2022-02,2022,2,1460336.0
88,139690.3988294,2022-02,2022,2,1287862.0
90,29541.306578596,2022-02,2022,2,1358112.0
91,11122.801350386,2022-02,2022,2,1095146.0
92,115231.61603330901,2022-02,2022,2,734652.0
93,81953.254335294,2022-02,2022,2,916788.0
94,163586.613419174,2022-02,2022,2,1979696.0
95,235406.519218845,2022-02,2022,2,733964.0
96,534264.769158409,2022-02,2022,2,701762.0
97,660107.994637492,2022-02,2022,2,709620.0
99,7629.485372298001,2022-02,2022,2,9641059.0
0,490.41448665,2022-03,2022,3,1000000.0
1,3181779.018634125,2022-03,2022,3,702627.0
2,35547.73157606,2022-03,2022,3,508138.0
3,110764.317338433,2022-03,2022,3,546517.0
5,34333.442296768,2022-03,2022,3,1569662.0
6,32545.095858326,2022-03,2022,3,4031679.0
7,88245.158464211,2022-03,2022,3,747121.0
8,82174.93418734199,2022-03,2022,3,843290.0
9,14024.111289584,2022-03,2022,3,2139015.0
10,562677.295341769,2022-03,2022,3,1185977.0
11,42737.341408499,2022-03,2022,3,2036123.0
12,710.54607695,2022-03,2022,3,1600000.0
13,66849.246107705,2022-03,2022,3,1219463.0
14,408896.249400747,2022-03,2022,3,1018536.0
15,259392.631217612,2022-03,2022,3,633599.0
16,60699.181874436,2022-03,2022,3,796739.0
17,23005.636451182,2022-03,2022,3,3151943.0
18,51586.015665977,2022-03,2022,3,1627723.0
19,3553.84196222,2022-03,2022,3,2736388.0
20,59704.19609633,2022-03,2022,3,2473129.0
21,37753.36048278,2022-03,2022,3,3390706.0
22,90490.063836443,2022-03,2022,3,1924670.0
23,104113.629928642,2022-03,2022,3,2115104.0
24,5161.17205481,2022-03,2022,3,1216777.0
25,191816.805502332,2022-03,2022,3,1135200.0
26,4436.066119106,2022-03,2022,3,1068224.0
27,27407.768808942,2022-03,2022,3,2716910.0
28,13693.2515752,2022-03,2022,3,1148765.0
29,21946.25546286,2022-03,2022,3,1837139.0
30,10913.867698342001,2022-03,2022,3,2075683.0
31,159738.829333392,2022-03,2022,3,1099842.0
32,110343.375976028,2022-03,2022,3,1063136.0
33,88428.192250316,2022-03,2022,3,1344392.0
35,79437.260945882,2022-03,2022,3,2844205.0
36,77488.55626548,2022-03,2022,3,2660490.0
37,7526.59503817,2022-03,2022,3,2320491.0
38,151078.972351221,2022-03,2022,3,869429.0
39,2640.40245972,2022-03,2022,3,1081526.0
41,975084.85280621,2022-03,2022,3,1067464.0
42,246861.914719747,2022-03,2022,3,1630517.0
43,270726.101233446,2022-03,2022,3,1225130.0
45,510118.139404851,2022-03,2022,3,1226945.0
46,434403.816509965,2022-03,2022,3,2202161.0
47,2974659.754976596,2022-03,2022,3,1022676.0
49,1222361.317657012,2022-03,2022,3,989453.0
50,7358.814600052,2022-03,2022,3,1466854.0
51,12627.405364365,2022-03,2022,3,4695872.0
52,243267.5939316197,2022-03,2022,3,1074417.0
53,164591.777601014,2022-03,2022,3,1232216.0
55,116616.184030669,2022-03,2022,3,1146089.0
56,1353398.117734341,2022-03,2022,3,884100.0
58,10677.663583316,2022-03,2022,3,1381580.0
59,20108.743449468,2022-03,2022,3,2438008.0
60,8782.356965599,2022-03,2022,3,1220486.0
61,174067.179948495,2022-03,2022,3,1886398.0
62,122963.538547918,2022-03,2022,3,4146348.0
63,8173.982460505,2022-03,2022,3,1801080.0
64,261900.587649033,2022-03,2022,3,3097858.0
65,91555.002759383,2022-03,2022,3,3236719.0
66,2564.717766841,2022-03,2022,3,1556641.0
68,182803.791027653,2022-03,2022,3,2326839.0
69,146683.524847894,2022-03,2022,3,2172689.0
70,69815.879514086,2022-03,2022,3,2021112.0
71,125950.259548759,2022-03,2022,3,2342527.0
72,8707.26699562,2022-03,2022,3,3945351.0
73,113320.90036580201,2022-03,2022,3,2386329.0
74,46704.315795753,2022-03,2022,3,1742482.0
75,26725.935618378,2022-03,2022,3,1296203.0
77,50207.999739399,2022-03,2022,3,1124406.0
