periodo,ano,mes,DPTO,empleo,informales,tasa_informalidad
2022-02,2022,2,5,2892271.200897096,1377749.7436321499,47.64
2022-02,2022,2,8,1197979.4335714101,772612.824256889,64.49
2022-02,2022,2,11,3762405.30898955,1149763.99645636,30.56
2022-02,2022,2,13,897562.7627937901,663475.46991999,73.92
2022-02,2022,2,15,463709.479683093,311818.55724931904,67.24
2022-02,2022,2,17,436860.147846286,219916.18468607997,50.34
2022-02,2022,2,18,165877.616170842,128377.81065362401,77.39
2022-02,2022,2,19,628550.9562702009,497414.113118334,79.14
2022-02,2022,2,20,464589.4449368791,333553.315321129,71.8
2022-02,2022,2,23,812511.402527457,706616.819972306,86.97
2022-02,2022,2,25,1494857.8835137822,757671.172902684,50.69
2022-02,2022,2,27,180422.573662901,145427.51934213,80.6
2022-02,2022,2,41,460387.132817078,331143.732428852,71.93
2022-02,2022,2,44,384966.425125584,342658.85694901395,89.01
2022-02,2022,2,47,591954.652990425,486288.888271593,82.15
2022-02,2022,2,50,471309.98445026,302617.202350406,64.21
2022-02,2022,2,52,890360.592021232,753579.966412543,84.64
2022-02,2022,2,54,661388.3984947801,477744.22415193997,72.23
2022-02,2022,2,63,248553.11912447703,134415.77029881597,54.08
2022-02,2022,2,66,406290.163505248,193817.725869803,47.7
2022-02,2022,2,68,1066008.545658976,636055.557442356,59.67
2022-02,2022,2,70,441338.950215961,360421.35031711496,81.67
2022-02,2022,2,73,553374.48480382,376298.95245866,68.0
2022-02,2022,2,76,1910649.8482004688,1034237.4096102589,54.13
2022-02,2022,2,81,25543.592553364,18006.764669381002,70.49
2022-02,2022,2,85,78230.67671834001,42596.96345277,54.45
2022-02,2022,2,86,16561.342489939,8963.766450433,54.12
2022-02,2022,2,88,22661.308267973996,7424.8413191,32.76
2022-02,2022,2,91,13835.652576545002,7033.344432007,50.83
2022-02,2022,2,94,8759.109995234001,6596.892535342,75.31
2022-02,2022,2,95,20298.181129026998,13477.989953152999,66.4
2022-02,2022,2,97,3939.1578134162,1601.8787948758,40.67
2022-02,2022,2,99,6909.770308911,4258.080336869999,61.62
2022-03,2022,3,5,3105036.775328936,1565559.4764516712,50.42
2022-03,2022,3,8,1206635.5099184732,804003.488009228,66.63
2022-03,2022,3,11,3763048.36542525,1226789.89242973,32.6
2022-03,2022,3,13,899358.771530504,669232.223921213,74.41
2022-03,2022,3,15,568435.216888867,406910.018590143,71.58
2022-03,2022,3,17,436209.399933033,210387.191974217,48.23
2022-03,2022,3,18,162330.394408237,124969.933319999,76.98
2022-03,2022,3,19,582013.3344383009,450302.719550016,77.37
2022-03,2022,3,20,467948.900373944,337680.01779356,72.16
2022-03,2022,3,23,791950.4734679479,644481.184202028,81.38
2022-03,2022,3,25,1374601.658718268,613357.639623104,44.62
2022-03,2022,3,27,176009.30004486302,138931.27545787,78.93
2022-03,2022,3,41,441824.449155601,316216.544665477,71.57
2022-03,2022,3,44,394830.976697636,349606.11842879397,88.55
2022-03,2022,3,47,565270.008014035,447785.67144048295,79.22
2022-03,2022,3,50,499189.02247744903,340717.614511326,68.25
2022-03,2022,3,52,877423.030285354,722179.180631326,82.31
2022-03,2022,3,54,651857.7937092801,471798.84162728,72.38
2022-03,2022,3,63,239020.465888464,132494.041051333,55.43
2022-03,2022,3,66,393247.480023641,193379.816971128,49.18
2022-03,2022,3,68,983067.960117285,537058.999214323,54.63
2022-03,2022,3,70,392064.297431919,334198.476967516,85.24
2022-03,2022,3,73,544299.00988273,383925.79596665,70.54
2022-03,2022,3,76,1962430.8793736747,1096049.931337649,55.85
2022-03,2022,3,81,27560.595609662996,19997.807121739,72.56
2022-03,2022,3,85,78066.02771960999,44853.880714579995,57.46
2022-03,2022,3,86,16396.058471173998,6252.267069474001,38.13
2022-03,2022,3,88,22752.939376749,6171.742113704,27.13
2022-03,2022,3,91,14489.203505374002,7380.2344158569995,50.94
2022-03,2022,3,94,8067.974490553,4331.5989863,53.69
2022-03,2022,3,95,24282.316517671003,17399.632816462,71.66
2022-03,2022,3,97,3896.3569287573,1703.5673105175,43.72
2022-03,2022,3,99,6214.254436999001,4348.230454145,69.97
2022-04,2022,4,5,3198555.97036592,1587249.5226798689,49.62
2022-04,2022,4,8,1236695.869300951,818173.0923254839,66.16
2022-04,2022,4,11,3852233.68193877,1151222.15283105,29.88
2022-04,2022,4,13,860128.6072948779,591537.82645218,68.77
2022-04,2022,4,15,577962.3229468609,345173.860649092,59.72
2022-04,2022,4,17,426839.575909946,211470.413085698,49.54
2022-04,2022,4,18,170908.45625253598,129422.569227228,75.73
2022-04,2022,4,19,644410.013906575,497044.173704512,77.13
2022-04,2022,4,20,499797.67821674596,370535.93927834905,74.14
2022-04,2022,4,23,800023.443885255,619012.122060506,77.37
2022-04,2022,4,25,1426902.628610726,666587.572912463,46.72
2022-04,2022,4,27,137389.182128881,95488.003638529,69.5
2022-04,2022,4,41,435367.37463389896,311133.33417747,71.46
2022-04,2022,4,44,345726.9343998149,299931.42239346995,86.75
2022-04,2022,4,47,579551.071312285,449008.491177037,77.48
2022-04,2022,4,50,454767.4941191021,281044.248144499,61.8
2022-04,2022,4,52,881345.0988362089,708763.835772282,80.42
2022-04,2022,4,54,700730.098508388,536965.29154664,76.63
2022-04,2022,4,63,238243.480416806,135363.281189031,56.82
2022-04,2022,4,66,393044.231515339,205155.14585575898,52.2
2022-04,2022,4,68,978078.7037611699,593972.16463197,60.73
2022-04,2022,4,70,403876.0091153539,346722.56634901604,85.85
2022-04,2022,4,73,517266.17700406,359850.5136531,69.57
2022-04,2022,4,76,2004640.860968548,1105996.92760372,55.17
2022-04,2022,4,81,27670.239732187,16980.886807331,61.37
2022-04,2022,4,85,72974.28453529,40444.62850593999,55.42
2022-04,2022,4,86,13870.135889996001,5750.463623717,41.46
2022-04,2022,4,88,21229.26391182,6945.986331943999,32.72
2022-04,2022,4,91,14166.218411082,7787.784559348,54.97
2022-04,2022,4,94,8363.460883217,5364.6072171920005,64.14
2022-04,2022,4,95,23668.814918509997,18096.895473587,76.46
2022-04,2022,4,97,4107.341803777001,2056.3508091237,50.07
2022-04,2022,4,99,6860.001140265999,4709.597483083999,68.65
2022-05,2022,5,5,3093031.834051884,1384448.3789952397,44.76
2022-05,2022,5,8,1209254.768121928,704391.154119781,58.25
2022-05,2022,5,11,3874540.22307762,1305098.57308353,33.68
2022-05,2022,5,13,903045.02657008,653629.44650433,72.38
2022-05,2022,5,15,554528.850568691,343304.463386614,61.91
2022-05,2022,5,17,423147.219321754,212478.39018825602,50.21
2022-05,2022,5,18,167870.405605672,119467.91754636701,71.17
2022-05,2022,5,19,738971.901237106,601494.594669733,81.4
2022-05,2022,5,20,467310.632960227,353072.1640947991,75.55
2022-05,2022,5,23,713109.0765817179,525809.7302361759,73.73
2022-05,2022,5,25,1440852.127222098,746910.084593788,51.84
2022-05,2022,5,27,155330.21651894698,125602.95455829799,80.86
2022-05,2022,5,41,472300.52293698,335918.35145931796,71.12
2022-05,2022,5,44,418963.44307195407,365425.67239701503,87.22
2022-05,2022,5,47,580897.714242466,449204.462049072,77.33
2022-05,2022,5,50,514520.468943393,310735.103094173,60.39
2022-05,2022,5,52,869998.136001151,705401.5618504281,81.08
2022-05,2022,5,54,686181.4384733201,478015.45063999004,69.66
2022-05,2022,5,63,221873.72814916197,114449.050278399,51.58
2022-05,2022,5,66,420014.403457744,220317.967309176,52.45
2022-05,2022,5,68,1054095.138269093,606232.175502996,57.51
2022-05,2022,5,70,369941.190372603,300332.006499311,81.18
2022-05,2022,5,73,546045.271082922,368597.828014692,67.5
2022-05,2022,5,76,2086693.759303982,1069246.9387546289,51.24
2022-05,2022,5,81,29653.309589440003,15849.80336215,53.45
2022-05,2022,5,85,77515.6076169,46893.84723006999,60.5
2022-05,2022,5,86,14986.293355327998,7616.435844166001,50.82
2022-05,2022,5,88,20697.701164575,7486.694546344001,36.17
2022-05,2022,5,91,13865.388417842001,7368.432216509998,53.14
2022-05,2022,5,94,9266.892060498,6667.242572652999,71.95
2022-05,2022,5,95,24079.407063455998,18288.297130856998,75.95
2022-05,2022,5,97,4895.967869398,2320.4837505859996,47.4
2022-05,2022,5,99,7284.092685739,3720.8004326090004,51.08
2022-06,2022,6,5,3045745.537827416,1468657.8782089269,48.22
2022-06,2022,6,8,1286750.587014235,780175.243898467,60.63
2022-06,2022,6,11,3762986.23055445,1293558.55398046,34.38
2022-06,2022,6,13,882866.109826567,648223.4521838671,73.42
2022-06,2022,6,15,608780.014231055,402270.29481216305,66.08
2022-06,2022,6,17,444808.40624976397,215993.541905233,48.56
2022-06,2022,6,18,165840.51136958698,130043.40531657601,78.41
2022-06,2022,6,19,677187.036851119,532128.642393161,78.58
2022-06,2022,6,20,501410.60645515594,372314.741913073,74.25
2022-06,2022,6,23,819406.392946749,695184.811273227,84.84
2022-06,2022,6,25,1538751.2293693728,677210.5529824711,44.01
2022-06,2022,6,27,115015.198900794,91551.982821756,79.6
2022-06,2022,6,41,444918.494341354,329911.86159220804,74.15
2022-06,2022,6,44,355003.071647382,310804.745691108,87.55
2022-06,2022,6,47,592652.5889470379,466008.927401568,78.63
2022-06,2022,6,50,457296.861857592,297086.72457335,64.97
2022-06,2022,6,52,916098.499954131,735182.334089195,80.25
2022-06,2022,6,54,671397.667793,500772.30629878,74.59
2022-06,2022,6,63,234635.562405851,117638.388751162,50.14
2022-06,2022,6,66,415861.742563496,210419.771164264,50.6
2022-06,2022,6,68,968482.5760483001,568473.80993531,58.7
2022-06,2022,6,70,367603.10428214294,313944.734737706,85.4
2022-06,2022,6,73,511899.57068716,338986.87537884,66.22
2022-06,2022,6,76,2032173.870916344,1121843.9438053959,55.2
2022-06,2022,6,81,35960.970545920005,18852.476622356,52.42
2022-06,2022,6,85,78319.35211504,39526.23146522,50.47
2022-06,2022,6,86,15309.934167779,8997.993443927002,58.77
2022-06,2022,6,88,20955.411817355,7993.672856571,38.15
2022-06,2022,6,91,12891.273516169,6192.89496848,48.04
2022-06,2022,6,94,8881.400095425,6059.309830223001,68.22
2022-06,2022,6,95,20959.228671446,15683.210824794,74.83
2022-06,2022,6,97,4938.358417955,2166.437310168,43.87
2022-06,2022,6,99,6808.259649258001,3403.3026925860004,49.99
2022-07,2022,7,5,3073131.4973947257,1478188.50829243,48.1
2022-07,2022,7,8,1223761.90114801,803013.778230067,65.62
2022-07,2022,7,11,3749069.1295333197,1337161.3255460798,35.67
