departamento,ocupados,ingreso_promedio,ingreso_mediano,tasa_formalidad,mujeres_pct,mujeres_cabeza_hogar_pct,pct_educacion_superior,nivel_educativo_etiqueta
AMAZONAS,16665.372897209,1823794.417700054,1200000.0,0.2900643163147324,,48.69609857007765,14.17234070161495,Básico predominante
ANTIOQUIA,3353489.231478013,2481558.599721445,2000000.0,0.3371875846884725,,49.86639840961672,26.963786921026276,Nivel medio
ARAUCA,36612.79646266,1553655.5929238924,1300000.0,0.0808227497959059,,59.35435960930447,24.48631805198981,Nivel medio
ARCHIPIÉLAGO DE SAN ANDRÉS,21651.406577284,2876638.5509893154,2000000.0,0.5451116380492691,,44.12069424653645,32.39109171821512,Nivel medio
ATLÁNTICO,1332351.446850847,1804884.520592048,1600000.0,0.2393698317516524,,38.79147571547512,26.936542981586992,Nivel medio
BOGOTÁ,4304224.30280315,3445291.075711096,2092000.0,0.4417651381613072,,46.35649494946827,41.69581784611816,Alto nivel educativo
BOLÍVAR,955011.183202214,1687126.8621443585,1200000.0,0.1940524355472671,,51.13457560294934,22.18246288706857,Nivel medio
BOYACÁ,567354.90853168,1737276.4203170305,1750000.0,0.1870490068166358,,47.747382949261514,20.796006023450403,Nivel medio
CALDAS,490900.5045287099,2278091.123620098,1750905.0,0.3040113473379917,,46.06044227204888,25.011864988065547,Nivel medio
CAQUETÁ,174392.54538697298,1973909.164031292,1700000.0,0.1268355267211512,,49.31888496464851,14.777684391201989,Básico predominante
CASANARE,85974.14600070001,3045134.072874519,2000000.0,0.333502964896872,,52.726734115291194,41.35397458029658,Alto nivel educativo
CAUCA,684739.3270658869,1378582.6042314614,900000.0,0.1196453482522319,,37.61608506961804,18.064677061599784,Básico predominante
CESAR,554611.591877945,1799978.2718317008,1400000.0,0.1506790983691793,,50.7787051886604,25.186233604560783,Nivel medio
CHOCÓ,136243.01855485002,1308744.1238934272,900000.0,0.1038283866237521,,56.00163205994817,12.265086132684106,Básico predominante
CUNDINAMARCA,1844062.165090323,2030726.1719361425,1750905.0,0.4301571591599998,,43.30820684075509,24.44208452489753,Nivel medio
CÓRDOBA,819468.521279813,1183454.4608116075,880000.0,0.1081595184861293,,46.14832672351406,15.436104512552241,Básico predominante
GUAINÍA,9795.746584329,2515640.611708336,2000000.0,0.1163292787499215,,53.72205301633982,17.109697374054182,Básico predominante
GUAVIARE,27728.761613962,2140260.497663817,1560000.0,0.21377836284204,,49.82871653734192,29.3607589545473,Nivel medio
HUILA,541087.60700804,1761415.0447188136,1500000.0,0.1295458945172356,,42.738815786303384,18.64741096636922,Básico predominante
LA GUAJIRA,378475.018101995,1134514.9895872758,800000.0,0.0830034966322534,,53.029860228086676,14.353636667256744,Básico predominante
MAGDALENA,630514.598960445,1365552.4249354596,1150000.0,0.1438613634140141,,45.96276406630121,17.0096664890747,Básico predominante
META,539702.7170526,2000515.5392508355,1750900.0,0.2003439434568603,,50.845665721307384,21.528098688838266,Nivel medio
NARIÑO,918597.5113874632,1215787.4568429254,840000.0,0.0749343358609271,,47.34144056369644,15.20164760439238,Básico predominante
NORTE DE SANTANDER,726509.76093569,1872570.738110796,1500000.0,0.17068686686194,,43.46030630138055,22.582219512094813,Nivel medio
PUTUMAYO,15169.455866088005,2258299.365160903,2000000.0,0.1740966318498585,,55.29492169088079,29.749060174320846,Nivel medio
QUINDÍO,285977.98161285406,2121381.6246121614,1750905.0,0.3141152859114638,,45.58458957778292,27.11462444370775,Nivel medio
RISARALDA,488805.391250232,2098352.195202412,1750050.0,0.3322866918960888,,48.15086147256872,23.33996069411735,Nivel medio
SANTANDER,1107634.478961842,2264960.157027992,1750905.0,0.2559124330921312,,47.47805227170569,30.753549691822425,Nivel medio
SUCRE,421717.956415067,1136019.2641059803,650000.0,0.0840619975498283,,44.674878451909215,13.705707000595133,Básico predominante
TOLIMA,588839.50059101,2016986.573942339,1550000.0,0.2027581859480179,,42.1306089977883,20.64080767748516,Nivel medio
VALLE DEL CAUCA,2282222.493136555,2108344.323390168,1750905.0,0.2535962961267489,,49.15697353632634,27.360921076686445,Nivel medio
VAUPÉS,4658.46385172,2546241.8976466204,2000000.0,0.2386332151421011,,42.93295445035979,34.09859609371667,Nivel medio
VICHADA,6809.367608753,1722072.755577398,1700000.0,0.1859402852863259,,49.478900353559354,19.458518420468963,Básico predominante
