periodo,ano,mes,pea_nacional,desempleados_nacional,tasa_desempleo_nacional,empleo_nacional,salario_promedio_nacional,informales_nacional,tasa_informalidad_nacional
2022-01,2022,1,,,,,,,
2022-02,2022,2,21451585.103973538,2140532.792216026,9.98,21680919.300124347,1285321.0,12603637.686016284,58.13
2022-03,2022,3,21425768.52426379,1972510.8044004599,9.21,21679829.200590245,1352366.0,12630455.055138843,58.26
2022-04,2022,4,20854868.983245976,1732136.2078745388,8.31,21957394.726575166,1398287.0,12524961.67215022,57.04
2022-05,2022,5,21595935.155902803,1707945.676640865,7.91,22184762.15596567,1472228.0,12515796.456912056,56.42
2022-06,2022,6,21256844.448898904,1736179.4319912381,8.17,22022595.662036404,1445124.0,12727263.055122592,57.79
2022-07,2022,7,21292202.112811487,1743731.207173098,8.19,22055061.7245958,1480182.0,12847870.213983597,58.25
2022-08,2022,8,21202414.321741182,1649021.576139218,7.78,22160002.623960588,1501209.0,12697589.836281236,57.3
2022-09,2022,9,21202662.557080813,1560691.4791597938,7.36,22389333.537607156,1457409.0,13084442.443960045,58.44
2022-10,2022,10,21410958.492012087,1475858.033937505,6.89,22606050.21622491,1510867.0,13068003.27541731,57.81
2022-11,2022,11,21311227.870615616,1411362.3393663662,6.62,22486275.519291148,1506534.0,12925274.366911804,57.48
2022-12,2022,12,21450127.922393322,1645572.337761412,7.67,22468150.13022546,1482759.0,12908330.50142268,57.45
2023-01,2023,1,20709571.196714357,2040970.5597762892,9.86,21491566.377054095,1506566.0,12331954.741050187,57.38
2023-02,2023,2,21302885.67631472,1862417.5515052539,8.74,22232690.28441615,1508105.0,13002129.218118396,58.48
2023-03,2023,3,21457193.951645836,1675588.033969573,7.81,22793698.89300856,1518026.0,13235119.799444666,58.06
2023-04,2023,4,21214361.76793897,1628323.518381496,7.68,22741957.367617566,1569198.0,12737250.123054517,56.01
2023-05,2023,5,21420076.896239392,1588796.143819501,7.42,22567452.35920701,1610753.0,12501899.962189268,55.4
2023-06,2023,6,21702136.506202135,1456080.435467546,6.71,23052255.8176132,1585426.0,12748715.628024727,55.3
2023-07,2023,7,21844292.09040626,1452543.361218103,6.65,23181793.257357053,1637266.0,12892266.298136389,55.61
2023-08,2023,8,21734863.185736038,1443951.5918499092,6.64,23161075.554782465,1671717.0,12967797.474233627,55.99
2023-09,2023,9,21883555.802401517,1429187.242134351,6.53,23106590.84805228,1661582.0,12886378.349083435,55.77
2023-10,2023,10,21907783.964162547,1517914.5615999121,6.93,23081780.612873867,1640771.0,12628229.597679077,54.71
2023-11,2023,11,21927628.954365253,1464658.012328519,6.68,23185540.634821665,1714814.0,12654554.576555457,54.58
2023-12,2023,12,21148547.12522214,1471698.569991285,6.96,22864323.037698828,1685525.0,12736407.665004129,55.7
2024-01,2024,1,20850002.417816464,2007321.1187537531,9.63,22024602.22064647,1731416.0,12197502.797570035,55.38
2024-02,2024,2,21545091.45303456,1861668.223595306,8.64,22492935.83154638,1644297.0,12716913.285221875,56.54
2024-03,2024,3,20847074.960651677,1731909.527066562,8.31,22645072.33044187,1704594.0,12581064.021569643,55.56
