OFICIO_C8,salario_promedio,salario_mediano,empleo_total,ocupados_muestra,periodo
0,1094741.0,1200000.0,237.51137362,2.0,2026-04
210,5952676.0,4000000.0,9993.471242941,12.0,2026-04
310,3622300.0,3200000.0,11240.811518062,20.0,2026-04
1111,4036203.0,2600000.0,14143.800479471001,12.0,2026-04
1112,5411978.0,5000000.0,26008.987647198002,35.0,2026-04
1114,19481375.0,9600000.0,1436.10893291,3.0,2026-04
1120,9026866.0,5000000.0,98021.69053605899,97.0,2026-04
1211,6698025.0,5000000.0,20417.198662511997,35.0,2026-04
1212,5630249.0,3500000.0,168637.67857388698,201.0,2026-04
1213,4000000.0,4000000.0,52.9145363,1.0,2026-04
1219,5141993.0,4500000.0,20313.315406700996,21.0,2026-04
1221,5621148.0,4000000.0,78490.56747271199,70.0,2026-04
1222,3452207.0,2625000.0,1343.8143221200003,3.0,2026-04
1223,5158202.0,5250000.0,548.56496094,2.0,2026-04
1311,2416161.0,1950000.0,107549.62933083702,163.0,2026-04
1312,1500000.0,1500000.0,640.03525821,1.0,2026-04
1321,3883435.0,2800000.0,58593.140132734,57.0,2026-04
1322,4342793.0,4000000.0,4744.78268862,5.0,2026-04
1323,9219628.0,5000000.0,3282.04526731,7.0,2026-04
1324,6134384.0,3000000.0,62411.676375265,57.0,2026-04
1330,9221379.0,6500000.0,24598.129577760003,11.0,2026-04
1342,6581538.0,3750000.0,34592.16389565,56.0,2026-04
1343,3202236.0,3500000.0,1234.90213757,3.0,2026-04
1344,3700888.0,4100000.0,7521.578017253,10.0,2026-04
1345,7576366.0,5850000.0,36556.638120136995,76.0,2026-04
1346,5355314.0,5050000.0,12085.435732077,16.0,2026-04
1349,5593486.0,3550000.0,5882.647162551,6.0,2026-04
1411,1713992.0,2000000.0,21212.299574874,24.0,2026-04
1412,2756187.0,2000000.0,119636.580099984,178.0,2026-04
1420,3024478.0,2000000.0,368414.949217218,537.0,2026-04
1431,1868307.0,2000000.0,24959.42099873,28.0,2026-04
1439,3310211.0,2500000.0,35547.242976073,50.0,2026-04
2113,2617071.0,3300000.0,3792.54802692,4.0,2026-04
2114,6763354.0,5000000.0,715.111774289,3.0,2026-04
2120,4064048.0,3740000.0,4979.62299061,2.0,2026-04
2131,6436670.0,3200000.0,30231.6728505,55.0,2026-04
2132,4205088.0,3258000.0,15331.10181541,25.0,2026-04
2133,3004053.0,2800000.0,13498.702456436002,23.0,2026-04
2141,6223056.0,4800000.0,17953.900590992,36.0,2026-04
2142,6769845.0,4400000.0,100312.957681161,122.0,2026-04
2143,4447687.0,3900000.0,26336.431462447996,37.0,2026-04
2144,5588632.0,4500000.0,29308.43992415,17.0,2026-04
2145,13136788.0,5300000.0,10510.722513080998,13.0,2026-04
2146,10718394.0,10000000.0,13531.12465679,9.0,2026-04
2149,3909206.0,3250000.0,8921.886735114,14.0,2026-04
2151,3226720.0,3500000.0,14032.89620903,25.0,2026-04
2152,3704708.0,3250000.0,6624.316468919999,8.0,2026-04
2153,2734560.0,3049095.0,4190.51319114,5.0,2026-04
2161,3847561.0,3500000.0,44030.393117993,59.0,2026-04
2163,3227444.0,2750000.0,8998.90595753,12.0,2026-04
2164,5200000.0,5200000.0,449.67378301,1.0,2026-04
2165,5656498.0,3250000.0,7116.73507654,16.0,2026-04
2166,3085819.0,2275000.0,91569.929100268,88.0,2026-04
2211,6595818.0,5000000.0,77655.379945149,124.0,2026-04
2212,16327075.0,10000000.0,40748.909493089006,68.0,2026-04
2221,4352483.0,3500000.0,52197.90129990599,77.0,2026-04
2240,3206241.0,2600000.0,14729.942202584001,18.0,2026-04
2250,2211405.0,3000000.0,23188.436463302998,38.0,2026-04
2261,3850700.0,3500000.0,48534.30064408,50.0,2026-04
2262,5708504.0,4500000.0,4834.76001403,5.0,2026-04
