esco_uri,spe_ocupacion,similarity_score
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Productores, Directores Artísticos, Coreógrafos y Ocupaciones Relacionadas",0.4728053727472139
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,"Otras Ocupaciones Técnicas en Cine, Televisión y Artes Escénicas n.c.a.",0.42981152883673357
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,Coordinadores y Productores de Eventos y Espectáculos,0.4252264184171223
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,Operadores de Máquinas para el Trabajo del Metal,0.6784801221958751
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,"Operadores de Máquinas, Tratamiento de Metales y Minerales",0.5896228617511227
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,Operadores de Máquinas para la Fabricación de Otros Productos Metálicos (n.c.a),0.5820843739542002
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,Inspectores de Equipos de Transporte e Instrumentos de Medición,0.5654832752232575
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,Ensambladores e Inspectores de Aparatos y Equipo Eléctrico,0.5612364984757169
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,Ensambladores e Inspectores de Productos Mecánicos,0.5513367478912857
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,Técnicos en Instrumentos de Aeronavegación,0.5289291940379062
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",0.49948483473683897
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,Ensambladores e Inspectores de Ensamble de Aeronaves,0.4934213944169884
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,Gerentes de Servicios Hoteleros,0.4940270537932165
