onet_soc_code,spe_ocupacion,similarity_score
11-1011.00,Suboficiales y nivel ejecutivo de la Policía,0.3917854828412438
11-1011.00,Directores y gerentes generales de servicios y procesos de negocio.,0.3892877077232739
11-1011.00,Jefes y supervisores de entidades financieras,0.3870575997001951
11-1011.03,"Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente",0.4331471756901621
11-1011.03,Gerentes de Otros Servicios a las Empresas,0.4133661702646999
11-1011.03,Jefes y supervisores de entidades financieras,0.4084890166875667
11-1021.00,Directores y gerentes generales de servicios y procesos de negocio.,0.5006037715449331
11-1021.00,Gerentes de Otros Servicios Administrativos,0.4547027591423244
11-1021.00,"Maestros Generales de Obra y Supervisores de Construcción, Instalación y Reparación",0.45155920725703363
11-1031.00,Miembros del Poder Ejecutivo y Legislativo,0.4621061630815809
11-1031.00,Empleados de Lavandería,0.38724390875601356
11-1031.00,Ayudantes de Otros Oficios,0.38036443980783413
11-2011.00,"Gerentes de Ventas, Mercadeo y Publicidad",0.49943325689340556
11-2011.00,Publicistas,0.4681610839627243
11-2011.00,"Asistentes de Mercadeo, Publicidad y Comunicaciones",0.4598850785356682
11-2021.00,"Gerentes de Ventas, Mercadeo y Publicidad",0.43673159934433203
11-2021.00,"Asistentes de Mercadeo, Publicidad y Comunicaciones",0.3741260275529635
11-2021.00,Gerentes de Servicios de Correo y Mensajería,0.36873997690028454
11-2022.00,Supervisores de Ventas,0.5216559506069566
11-2022.00,"Gerentes de Ventas, Mercadeo y Publicidad",0.4600172096617336
11-2022.00,Gerentes de Servicios de Correo y Mensajería,0.4178944414628871
11-2032.00,Ocupaciones Profesionales en Relaciones Públicas y Comunicaciones,0.5284083121753207
11-2032.00,Publicistas,0.4576483703250284
11-2032.00,Gerentes de Medios de Comunicación y Artes Escénicas,0.43622515537293455
11-2033.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.4749890850239802
11-2033.00,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.4638594309392211
11-2033.00,Gerentes de Otros Servicios Administrativos,0.45419895932996457
11-3012.00,Gerentes de Otros Servicios Administrativos,0.588368550487348
11-3012.00,Gerentes de Servicios de Correo y Mensajería,0.5545965748561339
11-3012.00,Asistentes Administrativos,0.5397349801941107
11-3013.00,Gerentes de Operación de Instalaciones Físicas,0.5175503392028576
11-3013.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.48538459827309904
11-3013.00,Gerentes de Otros Servicios Administrativos,0.4258883722103427
11-3013.01,Vigilantes y Guardias de Seguridad,0.5098049190982173
11-3013.01,Gerentes de Operación de Instalaciones Físicas,0.4572605352287313
11-3013.01,Supervisores de Vigilantes,0.455678911822561
11-3021.00,Gerentes de Sistemas de Información y Procesamiento de Datos,0.6316596003742871
11-3021.00,Coordinadores de Sistemas Integrados de Gestión,0.556608398484897
11-3021.00,Analistas de Sistemas Informáticos,0.5491274368170115
11-3031.00,Gerentes Financieros,0.519008172694976
11-3031.00,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.49573270990379503
11-3031.00,Jefes y supervisores de entidades financieras,0.46323738924466024
11-3031.01,"Auxiliares Contables, de Tesorería y Financieros",0.5249654029518069
11-3031.01,Auditores Financieros y Contables,0.46682038602763976
11-3031.01,"Analistas, Asistentes y Asesores de Servicios Financieros",0.44180109646288174
11-3031.03,"Analistas, Asesores y Agentes de Mercado Financiero",0.473242752615974
11-3031.03,Gerentes Financieros,0.4649449017355408
11-3031.03,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.45921937041595495
11-3051.00,Gerentes de Producción Industrial,0.6031026568236828
11-3051.00,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.47848164552044026
11-3051.00,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.4769707878021326
11-3051.01,Gerentes de Programas de Política Social y de Salud,0.48378007813804563
11-3051.01,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.47632141331891525
11-3051.01,"Analistas de Calidad, Textiles",0.4648654129850819
11-3051.02,Operadores de Plantas de Generación y Distribución de Energía,0.5449740164074774
11-3051.02,Gerentes de Operación de Instalaciones Físicas,0.5427888757788859
11-3051.02,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.5344376764421709
11-3051.03,Operadores de producción de hidrocarburos,0.5308939314244865
11-3051.03,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.5129025360208511
11-3051.03,Gerentes de Producción Industrial,0.5064419652787301
11-3051.04,Operadores de Máquinas de Planta Química,0.514435318429503
11-3051.04,Operadores de Planta de Gas,0.5090752025546088
11-3051.04,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.4999904367855804
11-3051.06,Operadores de Plantas de Generación y Distribución de Energía,0.5463951571474451
11-3051.06,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.5413635963012792
11-3051.06,Operadores de producción de hidrocarburos,0.5188428800747064
11-3061.00,Auxiliares de Compras e Inventarios,0.5721027312406303
11-3061.00,Gerentes de Compras y Adquisiciones,0.5304635640115032
11-3061.00,Asistentes de compras,0.469394507506997
11-3071.00,Gerentes de Transporte y Distribución,0.5569665664743086
11-3071.00,"Supervisores de Almacenamiento, Inventario y  Distribución",0.5212156397333945
11-3071.00,Gerentes de Logística,0.4926179648035072
11-3071.04,Gerentes Cadena de Suministro,0.503141495213063
11-3071.04,"Supervisores de Almacenamiento, Inventario y  Distribución",0.48057898599463733
11-3071.04,Gerentes de Logística,0.4457847736899437
11-3111.00,Auxiliares de Nómina y Prestaciones,0.4902688308082064
11-3111.00,Gerentes de Servicios de Correo y Mensajería,0.4874470299205119
11-3111.00,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.4843021826241604
11-3121.00,Gerentes de Talento Humano,0.5080893376917632
11-3121.00,Asistentes Administrativos,0.4739046966535978
11-3121.00,Gerentes de Otros Servicios Administrativos,0.4609709677658811
11-3131.00,Gerentes de Programas de Política de Desarrollo Económico,0.5051485970436402
11-3131.00,Directores de Programas de Esparcimiento y Administradores de Deportes,0.4994719156216608
11-3131.00,Gerentes de Programas de Política Educativa,0.4747541068729721
11-9013.00,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.5322352898364501
11-9013.00,Operadores de Maquinaria Agrícola,0.47330638519200885
11-9013.00,Administradores de Explotación Acuícola y Jefes de Laboratorio de Cultivo o Producción Acuícola,0.4728142551077711
11-9021.00,Gerentes de Construcción,0.5263295190380377
11-9021.00,"Maestros Generales de Obra y Supervisores de Construcción, Instalación y Reparación",0.515582642828497
11-9021.00,Ingenieros en Construcción y Obras Civiles,0.4939604570754309
11-9031.00,Auxiliares del Cuidado de Niños,0.547007764548462
11-9031.00,Profesores de Preescolar,0.5224776509084644
11-9031.00,Asistentes Administrativos,0.49731249701891334
11-9032.00,Directores y Administradores de Educación Básica y Media,0.5726951145784779
11-9032.00,Auxiliares Administrativos,0.5722114685265461
11-9032.00,Asistentes Administrativos,0.5676645237300337
11-9033.00,Administradores de Educación Superior y Formación para el Trabajo,0.5189835796967347
11-9033.00,Gerentes de Programas de Política Educativa,0.496120418547092
11-9033.00,Asistentes Administrativos,0.4834177883326263
11-9039.00,Directores y Administradores de Educación Básica y Media,0.5383636433113086
11-9039.00,Gerentes de Otros Servicios Administrativos,0.5334174690664206
11-9039.00,Asistentes Administrativos,0.5111476948408148
11-9041.00,Gerentes de Ingeniería,0.5241187958540977
11-9041.00,Ingenieros en Construcción y Obras Civiles,0.5153412852953914
11-9041.00,Arquitectos,0.49892708351845355
11-9041.01,Gerentes de Programas de Política de Desarrollo Económico,0.5218190500802735
11-9041.01,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,0.5122217223007
11-9041.01,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.46646660001508555
11-9051.00,Gerentes de Restaurantes y Servicios de Alimentos,0.6028512228261235
11-9051.00,Ayudantes de establecimientos de alimentos y bebidas,0.5743139446524844
11-9051.00,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.5545466202068094
11-9071.00,Operadores de Planta de Gas,0.47771146685337923
11-9071.00,Operadores de Juegos Mecánicos y de Salón,0.45716730629842794
11-9071.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.448062878669235
11-9072.00,Recreadores,0.4884420321022229
11-9072.00,Directores de Programas de Esparcimiento y Administradores de Deportes,0.466562298223736
11-9072.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.462898537916444
11-9081.00,Supervisores de servicios de Alojamiento y Hospedaje,0.5686283936393114
11-9081.00,Empleados de Recepción Hotelera,0.5006591879348014
11-9081.00,Gerentes de Servicios Hoteleros,0.4762031276742217
