programa,institucion,departamento,municipio,area_desempeno,tipo_certificado,escolaridad,costo,duracion_horas,estado_programa
TÉCNICO LABORAL EN AUXILIAR EN PREESCOLAR,JEAN PIAGET,SUCRE,SAN MARCOS,,TÉCNICO LABORAL,SECUNDARIA,18800000.0,900,REGISTRO RENOVADO
ELEMENTAL A1,CENTRO DE ESTUDIO DE LENGUA FRANCESA,MAGDALENA,SANTA MARTA,,CONOCIMIENTOS ACADÉMICOS,MEDIA,10370000.0,120,REGISTRO POR PRIMERA VEZ
CONOCIMIENTOS ACADÉMICOS EN PORTUGUES NIVEL A2,UNIVERSIDAD DE CALDAS,CALDAS,MANIZALES,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,3960000.0,160,REGISTRO RENOVADO
SAGRADAS ESCRITURAS,INSTITUTO BIBLICO CENTRAL,CÓRDOBA,MONTERIA,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,10060000.0,0,REGISTRO RENOVADO
AUXILIAR en ENFERMERIA,ESCUELA DE SALUD TERESA DE CALCUTA,CUNDINAMARCA,SOACHA,SALUD,TÉCNICO LABORAL,MEDIA,4520.0,1800,REGISTRO RENOVADO
AUXILIAR DE ENFERMERIA,CENTRO EDUCATIVO ANDINO,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SALUD,TÉCNICO LABORAL,MEDIA,46640000.0,1800,REGISTRO RENOVADO
TÉCNICO LABORAL EN COCINA,FUNDACION ESCUELA TALLER POPAYAN,CAUCA,POPAYÁN,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,0.0,1400,REGISTRO RENOVADO
CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL A1,ENGLISH COLLEGE,CESAR,VALLEDUPAR,,CONOCIMIENTOS ACADÉMICOS,MEDIA,12000000.0,160,REGISTRO POR PRIMERA VEZ
AUXILIAR EN SALUD ORAL,ESCUELA DE SALUD EMCOSALUD,HUILA,NEIVA,SALUD,TÉCNICO LABORAL,SECUNDARIA,8000000.0,1650,REGISTRO RENOVADO
CONOCIMIENTOS ACADÉMICOS EN PEINADOS,ESCUELA DE BELLEZA MARIELA,ANTIOQUIA,MEDELLÍN,,CONOCIMIENTOS ACADÉMICOS,NO APLICA,10000000.0,180,REGISTRO RENOVADO
TÉCNICO LABORAL EN AUXILIAR DE DISEÑO GRAFICO,FUNDETEC,SUCRE,SINCELEJO,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,35008120.0,1440,REGISTRO POR PRIMERA VEZ
TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,JEAN PIAGET,SUCRE,SAN MARCOS,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,9000000.0,1000,REGISTRO POR PRIMERA VEZ
ESTUDIOS BIBLICOS AVANZADOS,CORPORACION INSTITUTO PARA LA EDUCACION PASTORAL CIPEP,SUCRE,SINCELEJO,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,13160000.0,800,REGISTRO RENOVADO
TÉCNICO LABORAL EN BAR Y MESA,COLEGIO COMFAMA,ANTIOQUIA,LA CEJA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,31598290.0,1304,REGISTRO RENOVADO
CONOCIMIENTOS ACADÉMICOS EN  INGLES A1,NEW HORIZONS LANGUAGE AND TECHNICAL,CUNDINAMARCA,FACATATIVÁ,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,5400000.0,360,REGISTRO MODIFICADO
TÉCNICO LABORAL EN SECRETARIADO GERENCIAL,CENTRO DE SISTEMAS DE ANTIOQUIA CENSA,ANTIOQUIA,PEÑOL,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,8000000.0,600,REGISTRO POR PRIMERA VEZ
TECNICO LABORAL POR COMPETENCIAS EN SECRETARIA DE GERENCIA,INSTITUTO ADVANCING SYSTEM PLUS S.A.S,CAUCA,POPAYÁN,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,MEDIA,28499620.0,1300,REGISTRO RENOVADO
TÉCNICO LABORAL EN ASISTENCIA EN ANÁLISIS Y PRODUCCIÓN DE INFORMACIÓN ADMINISTRATIVA,"FUNDACION DE EDUCACION TECNICA DE LA COSTA ""FUNDETCO""",SUCRE,SAN ONOFRE,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,21000000.0,1600,REGISTRO POR PRIMERA VEZ
CONOCIMIENTOS ACADÉMICOS EN SAXOFÓN,HRT INSTITUCIÓN EDUCATIVA MUSICAL,ANTIOQUIA,MEDELLÍN,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,77500000.0,768,REGISTRO POR PRIMERA VEZ
TÉCNICO LABORAL EN MERCADEO Y VENTAS,CENTRO DE SISTEMAS DE ANTIOQUIA CENSA,ANTIOQUIA,BARBOSA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,8000000.0,600,REGISTRO POR PRIMERA VEZ
TÉCNICO LABORAL EN AUXILIAR EN CUIDADO DE NIÑOS,LA NUEVA SABANA,SUCRE,SAN MARCOS,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,8000000.0,800,REGISTRO POR PRIMERA VEZ
CONOCIMIENTOS ACADÉMICOS EN OFIMATICA,CORPORACION PARA EL FOMENTO EDUCATIVO CORPAFE,CUNDINAMARCA,SOPÓ,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,15000000.0,180,REGISTRO POR PRIMERA VEZ
TÉCNICO LABORAL EN MERCADEO Y VENTAS,FUNDACION ACADEMIA DE FORMACION TECNICA DEL CARIBE - FORCATEC,BOLÍVAR,SAN JUAN NEPOMUCENO,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,6000000.0,900,REGISTRO POR PRIMERA VEZ
TECNICO LABORAL POR COMPETENCIAS EN COCINA,INSTITUTO PARA EL TRABAJO Y DESARROLLO HUMANO SAS PASARELLA,NARIÑO,PASTO,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,45080000.0,1800,REGISTRO MODIFICADO
CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1,GEORGIA TECH INTERNATIONAL CORPORATION GTIC,CUNDINAMARCA,FACATATIVÁ,,CONOCIMIENTOS ACADÉMICOS,NO APLICA,20000000.0,160,REGISTRO POR PRIMERA VEZ
TÉCNICO LABORAL EN AUXILIAR SISTEMA,"INSTITUTO NACIONAL CENTRO DE SISTEMAS ""SYSTEM CENTER"" - SAN JUAN",LA GUAJIRA,SAN JUAN DEL CESAR,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,16560000.0,1400,REGISTRO RENOVADO
TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,INSTITUTO TECNICO DE ADMINISTRACION Y SALUD  INCATEC,ATLÁNTICO,BARRANQUILLA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,45900000.0,1200,REGISTRO RENOVADO
TÉCNICO LABORAL POR COMPETENCIAS EN SEGURIDAD Y SALUD EN EL TRABAJO,CENTRO COLOMBIANO DE ESTUDIOS TECNICOS CCOET,VALLE DEL CAUCA,JAMUNDÍ,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",TÉCNICO LABORAL,SECUNDARIA,22500000.0,1250,REGISTRO POR PRIMERA VEZ
