departamento,area_desempeno,programas,duracion_promedio_horas,costo_promedio
ANTIOQUIA,VENTAS Y SERVICIOS,931,1008.5596133190118,25593732.416756175
VALLE DEL CAUCA,VENTAS Y SERVICIOS,668,1089.0973053892214,27561611.15269461
ANTIOQUIA,FINANZAS Y ADMINISTRACIÓN,578,1080.6245674740485,20755571.297577854
VALLE DEL CAUCA,FINANZAS Y ADMINISTRACIÓN,543,1094.7992633517495,22247626.003683243
BOGOTÁ D.C.,VENTAS Y SERVICIOS,535,1061.3551401869158,33439915.700934578
BOGOTÁ D.C.,FINANZAS Y ADMINISTRACIÓN,368,1165.1983695652175,31512831.16847826
BOLÍVAR,VENTAS Y SERVICIOS,333,1154.3963963963963,14034320.780780781
ATLÁNTICO,VENTAS Y SERVICIOS,321,1245.0218068535826,35170353.42679128
CUNDINAMARCA,FINANZAS Y ADMINISTRACIÓN,309,1148.482200647249,25803772.07119741
MAGDALENA,VENTAS Y SERVICIOS,287,1186.1463414634147,15930699.198606271
ATLÁNTICO,FINANZAS Y ADMINISTRACIÓN,251,1304.0796812749004,29482973.545816734
CUNDINAMARCA,VENTAS Y SERVICIOS,247,1142.8866396761134,55331099.473684214
CÓRDOBA,VENTAS Y SERVICIOS,239,1017.4267782426779,17920972.384937238
SANTANDER,VENTAS Y SERVICIOS,225,977.3555555555556,21438812.17777778
ANTIOQUIA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,223,1127.6098654708521,27103596.68161435
VALLE DEL CAUCA,SALUD,190,1690.4263157894736,38632780.05263158
CÓRDOBA,FINANZAS Y ADMINISTRACIÓN,189,1021.5026455026455,18993035.44973545
VALLE DEL CAUCA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,184,1097.1847826086957,27205182.391304348
META,VENTAS Y SERVICIOS,178,1143.8370786516855,31613404.213483147
VALLE DEL CAUCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",170,1146.0411764705882,26070086.647058822
ATLÁNTICO,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",161,1326.3602484472049,36443018.50931677
META,FINANZAS Y ADMINISTRACIÓN,160,1204.575,29305675.125
NARIÑO,FINANZAS Y ADMINISTRACIÓN,155,983.258064516129,12941354.838709677
ANTIOQUIA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",146,1133.0068493150684,27096493.698630136
TOLIMA,VENTAS Y SERVICIOS,146,1004.3287671232877,23358636.09589041
NARIÑO,VENTAS Y SERVICIOS,146,958.4931506849315,15378725.342465753
RISARALDA,VENTAS Y SERVICIOS,145,1126.3103448275863,28292065.172413792
ANTIOQUIA,SALUD,140,1665.1142857142856,36858908.85714286
SUCRE,VENTAS Y SERVICIOS,138,1147.6666666666667,23767551.89781022
CESAR,VENTAS Y SERVICIOS,135,1030.2962962962963,16223445.407407407
BOGOTÁ D.C.,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",134,1218.6716417910447,48157199.104477614
BOLÍVAR,FINANZAS Y ADMINISTRACIÓN,131,1190.1679389312976,11988370.076335877
META,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",130,1185.7230769230769,29197676.923076924
BOGOTÁ D.C.,SALUD,129,1714.046511627907,40909247.59689923
BOGOTÁ D.C.,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",128,1262.9296875,67397169.84375
HUILA,VENTAS Y SERVICIOS,126,1056.1746031746031,24022378.80952381
NORTE DE SANTANDER,VENTAS Y SERVICIOS,126,1056.5238095238096,29289813.492063493
VALLE DEL CAUCA,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES",124,1122.0,25313608.629032258
NARIÑO,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,120,956.7166666666667,13453258.333333334
BOYACÁ,VENTAS Y SERVICIOS,118,1220.5593220338983,20738819.40677966
ANTIOQUIA,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES",117,1092.820512820513,36261796.75213675
VALLE DEL CAUCA,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",115,1072.5478260869565,35961415.82608695
NORTE DE SANTANDER,FINANZAS Y ADMINISTRACIÓN,114,1024.5087719298247,23259460.350877192
MAGDALENA,FINANZAS Y ADMINISTRACIÓN,113,1226.212389380531,18618745.486725662
SANTANDER,FINANZAS Y ADMINISTRACIÓN,112,1018.875,20765579.82142857
MAGDALENA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",110,1140.1909090909091,20004044.727272727
TOLIMA,FINANZAS Y ADMINISTRACIÓN,106,1156.7735849056603,25614987.547169812
CÓRDOBA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",103,1106.8543689320388,16295077.669902913
CUNDINAMARCA,SALUD,103,1745.5339805825242,31335560.0
CESAR,FINANZAS Y ADMINISTRACIÓN,102,1160.1764705882354,16356818.62745098
ATLÁNTICO,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,101,1286.2673267326732,31818338.316831682
CAUCA,VENTAS Y SERVICIOS,98,1154.6326530612246,30170703.673469387
NARIÑO,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",95,912.578947368421,13048842.105263159
RISARALDA,FINANZAS Y ADMINISTRACIÓN,90,1150.4333333333334,24102734.222222224
BOLÍVAR,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",85,1161.2,10610764.705882354
CÓRDOBA,SALUD,83,1696.9036144578313,26954216.86746988
BOGOTÁ D.C.,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,82,1140.0,32766713.658536587
SUCRE,FINANZAS Y ADMINISTRACIÓN,81,1188.8641975308642,20757022.592592593
CUNDINAMARCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",80,1047.1875,26717841.25
CALDAS,FINANZAS Y ADMINISTRACIÓN,79,1331.8481012658228,25724231.518987343
ANTIOQUIA,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",79,1150.860759493671,22271595.443037976
VALLE DEL CAUCA,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",79,1106.2278481012659,22351624.43037975
CALDAS,VENTAS Y SERVICIOS,78,1189.2948717948718,24528805.512820512
LA GUAJIRA,VENTAS Y SERVICIOS,77,1175.064935064935,12068203.116883118
ANTIOQUIA,EXPLOTACIÓN PRIMARIA Y EXTRACTIVA,74,880.6891891891892,18006476.216216218
BOYACÁ,FINANZAS Y ADMINISTRACIÓN,71,1218.4929577464789,17213578.450704224
CUNDINAMARCA,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES",70,1087.9,24239548.0
BOLÍVAR,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,70,1177.142857142857,11528487.714285715
NARIÑO,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",68,1025.1764705882354,14137941.176470589
CUNDINAMARCA,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",66,1123.6818181818182,18887410.0
RISARALDA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,65,1190.923076923077,26320702.769230768
CUNDINAMARCA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,65,1191.2307692307693,24491062.769230768
QUINDÍO,VENTAS Y SERVICIOS,64,1019.375,25021157.5
META,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",63,1133.111111111111,32133984.126984127
PUTUMAYO,VENTAS Y SERVICIOS,62,1103.0483870967741,18294025.16129032
BOLÍVAR,SALUD,59,1697.0169491525423,17035922.033898305
CÓRDOBA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,57,1056.5964912280701,21156140.350877192
ATLÁNTICO,SALUD,56,1691.5,47655871.78571428
CUNDINAMARCA,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",53,1176.0,26185738.11320755
ARAUCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",53,1113.7735849056603,22829556.603773586
ATLÁNTICO,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",52,1282.2307692307693,32268797.5
CAUCA,FINANZAS Y ADMINISTRACIÓN,52,1063.1538461538462,24046011.923076924
ARAUCA,VENTAS Y SERVICIOS,52,1023.4038461538462,21689324.615384616
META,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,51,1183.2941176470588,28040784.70588235
ATLÁNTICO,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",50,1241.2,22544391.0
NORTE DE SANTANDER,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,48,1006.375,20525000.0
NARIÑO,SALUD,48,1586.375,29880775.416666668
ARAUCA,FINANZAS Y ADMINISTRACIÓN,47,1054.9787234042553,18537265.95744681
