ano_grado,area,graduados
2001,"Economía, administración, contaduría y afines",12037
2001,Ciencias de la educación,9320
2001,"Ingeniería, arquitectura, urbanismo y afines",8009
2001,Ciencias sociales y humanas,3743
2001,Ciencias de la salud,3356
2001,Bellas artes,939
2001,"Agronomía, veterinaria y afines",445
2001,Matemáticas y ciencias naturales,430
2002,"Economía, administración, contaduría y afines",12867
2002,"Ingeniería, arquitectura, urbanismo y afines",8820
2002,Ciencias de la educación,6446
2002,Ciencias sociales y humanas,4268
2002,Ciencias de la salud,3531
2002,Bellas artes,963
2002,Matemáticas y ciencias naturales,491
2002,"Agronomía, veterinaria y afines",486
2003,"Economía, administración, contaduría y afines",14100
2003,"Ingeniería, arquitectura, urbanismo y afines",9872
2003,Ciencias de la educación,6447
2003,Ciencias sociales y humanas,4349
2003,Ciencias de la salud,3937
2003,Bellas artes,1149
2003,Matemáticas y ciencias naturales,658
2003,"Agronomía, veterinaria y afines",599
2004,"Economía, administración, contaduría y afines",15811
2004,"Ingeniería, arquitectura, urbanismo y afines",11193
2004,Ciencias sociales y humanas,5331
2004,Ciencias de la educación,5131
2004,Ciencias de la salud,4185
2004,Bellas artes,1041
2004,Matemáticas y ciencias naturales,742
2004,"Agronomía, veterinaria y afines",690
2005,"Economía, administración, contaduría y afines",15307
2005,"Ingeniería, arquitectura, urbanismo y afines",12666
2005,Ciencias sociales y humanas,5780
2005,Ciencias de la salud,4446
2005,Ciencias de la educación,3780
2005,Bellas artes,1391
2005,Matemáticas y ciencias naturales,833
2005,"Agronomía, veterinaria y afines",759
2006,"Economía, administración, contaduría y afines",16759
2006,"Ingeniería, arquitectura, urbanismo y afines",12062
2006,Ciencias sociales y humanas,6860
2006,Ciencias de la salud,4536
2006,Ciencias de la educación,4266
2006,Bellas artes,1600
2006,Matemáticas y ciencias naturales,1028
2006,"Agronomía, veterinaria y afines",739
2007,"Economía, administración, contaduría y afines",18752
2007,"Ingeniería, arquitectura, urbanismo y afines",14265
2007,Ciencias sociales y humanas,9373
2007,Ciencias de la educación,7489
2007,Ciencias de la salud,5092
2007,Bellas artes,1782
2007,Matemáticas y ciencias naturales,1063
2007,"Agronomía, veterinaria y afines",792
2008,"Economía, administración, contaduría y afines",21286
2008,"Ingeniería, arquitectura, urbanismo y afines",16086
2008,Ciencias sociales y humanas,10150
2008,Ciencias de la educación,9492
2008,Ciencias de la salud,5457
2008,Bellas artes,1944
2008,Matemáticas y ciencias naturales,1178
2008,"Agronomía, veterinaria y afines",946
2009,"Economía, administración, contaduría y afines",24182
2009,"Ingeniería, arquitectura, urbanismo y afines",17381
2009,Ciencias de la educación,10888
2009,Ciencias sociales y humanas,9851
2009,Ciencias de la salud,5611
2009,Bellas artes,2234
2009,Matemáticas y ciencias naturales,1247
2009,"Agronomía, veterinaria y afines",1007
2010,"Economía, administración, contaduría y afines",28545
2010,"Ingeniería, arquitectura, urbanismo y afines",17884
2010,Ciencias de la educación,17543
2010,Ciencias sociales y humanas,10421
2010,Ciencias de la salud,6250
2010,Bellas artes,2170
2010,Matemáticas y ciencias naturales,1424
2010,"Agronomía, veterinaria y afines",1154
2011,"Economía, administración, contaduría y afines",34944
2011,"Ingeniería, arquitectura, urbanismo y afines",25258
2011,Ciencias de la educación,22565
2011,Ciencias sociales y humanas,11656
2011,Ciencias de la salud,8173
2011,Bellas artes,2777
2011,"Agronomía, veterinaria y afines",2605
2011,Matemáticas y ciencias naturales,1764
2012,"Economía, administración, contaduría y afines",42704
2012,"Ingeniería, arquitectura, urbanismo y afines",27749
2012,Ciencias de la educación,23392
2012,Ciencias sociales y humanas,13174
2012,Ciencias de la salud,9662
2012,Bellas artes,3294
2012,"Agronomía, veterinaria y afines",2668
2012,Matemáticas y ciencias naturales,2171
2013,"Economía, administración, contaduría y afines",50386
2013,"Ingeniería, arquitectura, urbanismo y afines",32295
2013,Ciencias de la educación,19121
2013,Ciencias sociales y humanas,15011
