area,rango_ingreso,graduados,porcentaje
"Agronomía, veterinaria y afines","Entre 1 y 1,5 SMMLV",16002,36.59
"Agronomía, veterinaria y afines","Entre 1,5 y 2,5 SMMLV",9931,22.71
"Agronomía, veterinaria y afines","Entre 2,5 y 4 SMMLV",6949,15.89
"Agronomía, veterinaria y afines",1 SMMLV,5297,12.11
"Agronomía, veterinaria y afines",Entre 4 y 6 SMMLV,3127,7.15
"Agronomía, veterinaria y afines",Entre 6 y 9 SMMLV,1531,3.5
"Agronomía, veterinaria y afines",Más de 9 SMMLV,900,2.06
Bellas artes,"Entre 1 y 1,5 SMMLV",23513,32.13
Bellas artes,"Entre 1,5 y 2,5 SMMLV",17301,23.64
Bellas artes,"Entre 2,5 y 4 SMMLV",13083,17.88
Bellas artes,1 SMMLV,7252,9.91
Bellas artes,Entre 4 y 6 SMMLV,6621,9.05
Bellas artes,Entre 6 y 9 SMMLV,3352,4.58
Bellas artes,Más de 9 SMMLV,2061,2.82
Ciencias de la educación,Entre 4 y 6 SMMLV,115306,30.42
Ciencias de la educación,"Entre 2,5 y 4 SMMLV",111031,29.29
Ciencias de la educación,"Entre 1 y 1,5 SMMLV",58620,15.46
Ciencias de la educación,"Entre 1,5 y 2,5 SMMLV",53633,14.15
Ciencias de la educación,Entre 6 y 9 SMMLV,21655,5.71
Ciencias de la educación,1 SMMLV,14385,3.79
Ciencias de la educación,Más de 9 SMMLV,4459,1.18
Ciencias de la salud,"Entre 2,5 y 4 SMMLV",57382,26.14
Ciencias de la salud,"Entre 1,5 y 2,5 SMMLV",45588,20.77
Ciencias de la salud,"Entre 1 y 1,5 SMMLV",38497,17.54
Ciencias de la salud,Entre 4 y 6 SMMLV,35886,16.35
Ciencias de la salud,Entre 6 y 9 SMMLV,17369,7.91
Ciencias de la salud,Más de 9 SMMLV,12771,5.82
Ciencias de la salud,1 SMMLV,12015,5.47
Ciencias sociales y humanas,"Entre 2,5 y 4 SMMLV",72491,19.29
Ciencias sociales y humanas,"Entre 1 y 1,5 SMMLV",70360,18.72
Ciencias sociales y humanas,Entre 4 y 6 SMMLV,64980,17.29
Ciencias sociales y humanas,"Entre 1,5 y 2,5 SMMLV",64452,17.15
Ciencias sociales y humanas,Entre 6 y 9 SMMLV,41631,11.08
Ciencias sociales y humanas,Más de 9 SMMLV,38150,10.15
Ciencias sociales y humanas,1 SMMLV,23722,6.31
"Economía, administración, contaduría y afines","Entre 1 y 1,5 SMMLV",314822,27.14
"Economía, administración, contaduría y afines","Entre 1,5 y 2,5 SMMLV",255924,22.06
"Economía, administración, contaduría y afines","Entre 2,5 y 4 SMMLV",218474,18.83
"Economía, administración, contaduría y afines",Entre 4 y 6 SMMLV,134241,11.57
"Economía, administración, contaduría y afines",Entre 6 y 9 SMMLV,82876,7.14
"Economía, administración, contaduría y afines",1 SMMLV,81516,7.03
"Economía, administración, contaduría y afines",Más de 9 SMMLV,72147,6.22
"Ingeniería, arquitectura, urbanismo y afines","Entre 1 y 1,5 SMMLV",164490,22.24
"Ingeniería, arquitectura, urbanismo y afines","Entre 1,5 y 2,5 SMMLV",162277,21.94
"Ingeniería, arquitectura, urbanismo y afines","Entre 2,5 y 4 SMMLV",152411,20.61
"Ingeniería, arquitectura, urbanismo y afines",Entre 4 y 6 SMMLV,105075,14.21
"Ingeniería, arquitectura, urbanismo y afines",Entre 6 y 9 SMMLV,59127,8.0
"Ingeniería, arquitectura, urbanismo y afines",1 SMMLV,51482,6.96
"Ingeniería, arquitectura, urbanismo y afines",Más de 9 SMMLV,44637,6.04
Matemáticas y ciencias naturales,"Entre 2,5 y 4 SMMLV",11364,22.87
Matemáticas y ciencias naturales,"Entre 1,5 y 2,5 SMMLV",9997,20.12
Matemáticas y ciencias naturales,"Entre 1 y 1,5 SMMLV",8989,18.09
Matemáticas y ciencias naturales,Entre 4 y 6 SMMLV,8362,16.83
Matemáticas y ciencias naturales,Entre 6 y 9 SMMLV,4722,9.5
Matemáticas y ciencias naturales,Más de 9 SMMLV,3171,6.38
Matemáticas y ciencias naturales,1 SMMLV,3092,6.22
Sin información,"Entre 1 y 1,5 SMMLV",3324,37.82
Sin información,"Entre 1,5 y 2,5 SMMLV",1781,20.26
Sin información,"Entre 2,5 y 4 SMMLV",1465,16.67
Sin información,Entre 4 y 6 SMMLV,887,10.09
Sin información,1 SMMLV,795,9.05
Sin información,Entre 6 y 9 SMMLV,354,4.03
Sin información,Más de 9 SMMLV,183,2.08
