ies,rango_modal,graduados_rango_modal,total_graduados
SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Entre 1 y 1,5 SMMLV",211088,453057
CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Entre 1 y 1,5 SMMLV",30539,102780
UNIVERSIDAD NACIONAL DE COLOMBIA,"Entre 2,5 y 4 SMMLV",16094,70423
PONTIFICIA UNIVERSIDAD JAVERIANA,Entre 4 y 6 SMMLV,12952,61355
FUNDACION UNIVERSITARIA DEL AREA ANDINA,Entre 4 y 6 SMMLV,18801,61129
POLITECNICO GRANCOLOMBIANO,"Entre 2,5 y 4 SMMLV",15710,58526
UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Entre 2,5 y 4 SMMLV",14160,55739
UNIVERSIDAD LIBRE,"Entre 2,5 y 4 SMMLV",12229,54163
FUNDACION UNIVERSITARIA LOS LIBERTADORES,Entre 4 y 6 SMMLV,29840,52691
UNIVERSIDAD DE SANTANDER - UDES,Entre 4 y 6 SMMLV,20564,49369
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Entre 2,5 y 4 SMMLV",12069,47055
UNIVERSIDAD DE ANTIOQUIA,"Entre 2,5 y 4 SMMLV",13073,46522
UNIVERSIDAD EXTERNADO DE COLOMBIA,Más de 9 SMMLV,12001,45090
UNIVERSIDAD SANTO TOMAS,"Entre 2,5 y 4 SMMLV",9184,40608
UNIVERSIDAD PONTIFICIA BOLIVARIANA,"Entre 2,5 y 4 SMMLV",9352,40471
UNIVERSIDAD DE LOS ANDES,Más de 9 SMMLV,13200,38819
UNIVERSIDAD DEL TOLIMA,"Entre 1 y 1,5 SMMLV",10206,37220
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,"Entre 2,5 y 4 SMMLV",10255,36913
UNIVERSIDAD DEL VALLE,"Entre 2,5 y 4 SMMLV",8332,35825
UNIVERSIDAD DE PAMPLONA,"Entre 2,5 y 4 SMMLV",8596,30089
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,Más de 9 SMMLV,6978,29440
CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Entre 1 y 1,5 SMMLV",9210,28941
UNIVERSIDAD DEL NORTE,"Entre 2,5 y 4 SMMLV",6531,28785
UNIVERSIDAD INDUSTRIAL DE SANTANDER,"Entre 2,5 y 4 SMMLV",6276,28462
UNIVERSIDAD EAFIT-,Más de 9 SMMLV,6917,28434
UNIVERSIDAD DE LA SABANA,Más de 9 SMMLV,6982,28402
UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Entre 2,5 y 4 SMMLV",7029,27135
FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,"Entre 2,5 y 4 SMMLV",6829,27134
CORPORACION UNIVERSITARIA REMINGTON,"Entre 1 y 1,5 SMMLV",7644,27014
UNIVERSIDAD DE SAN BUENAVENTURA,"Entre 2,5 y 4 SMMLV",6242,25321
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,"Entre 1 y 1,5 SMMLV",7726,25054
UNIVERSIDAD MILITAR-NUEVA GRANADA,"Entre 2,5 y 4 SMMLV",5629,23909
UNIVERSIDAD SANTIAGO DE CALI,"Entre 2,5 y 4 SMMLV",5818,23714
UNIVERSIDAD CATOLICA DE COLOMBIA,Entre 4 y 6 SMMLV,5413,23703
INSTITUTO TECNOLOGICO METROPOLITANO,"Entre 1,5 y 2,5 SMMLV",6764,23638
UNIVERSIDAD EAN,Entre 4 y 6 SMMLV,4903,23066
UNIVERSIDAD ECCI,"Entre 2,5 y 4 SMMLV",6149,22926
