nivel_formacion,rango_ingreso,graduados,porcentaje
Doctorado,Más de 9 SMMLV,3156,44.11
Doctorado,Entre 6 y 9 SMMLV,2347,32.8
Doctorado,Entre 4 y 6 SMMLV,825,11.53
Doctorado,"Entre 2,5 y 4 SMMLV",360,5.03
Doctorado,"Entre 1 y 1,5 SMMLV",177,2.47
Doctorado,"Entre 1,5 y 2,5 SMMLV",175,2.45
Doctorado,1 SMMLV,115,1.61
Especialización,Entre 4 y 6 SMMLV,208272,31.1
Especialización,"Entre 2,5 y 4 SMMLV",149211,22.28
Especialización,Entre 6 y 9 SMMLV,98719,14.74
Especialización,Más de 9 SMMLV,78790,11.77
Especialización,"Entre 1,5 y 2,5 SMMLV",66341,9.91
Especialización,"Entre 1 y 1,5 SMMLV",52009,7.77
Especialización,1 SMMLV,16345,2.44
Especialización médico quirúrgica,Más de 9 SMMLV,7101,45.94
Especialización médico quirúrgica,Entre 6 y 9 SMMLV,3151,20.39
Especialización médico quirúrgica,Entre 4 y 6 SMMLV,1901,12.3
Especialización médico quirúrgica,"Entre 2,5 y 4 SMMLV",1301,8.42
Especialización médico quirúrgica,"Entre 1 y 1,5 SMMLV",925,5.98
Especialización médico quirúrgica,"Entre 1,5 y 2,5 SMMLV",879,5.69
Especialización médico quirúrgica,1 SMMLV,199,1.29
Formación técnica profesional,"Entre 1 y 1,5 SMMLV",27327,45.46
Formación técnica profesional,"Entre 1,5 y 2,5 SMMLV",14925,24.83
Formación técnica profesional,1 SMMLV,7976,13.27
Formación técnica profesional,"Entre 2,5 y 4 SMMLV",6483,10.78
Formación técnica profesional,Entre 4 y 6 SMMLV,2203,3.66
Formación técnica profesional,Entre 6 y 9 SMMLV,807,1.34
Formación técnica profesional,Más de 9 SMMLV,394,0.66
Maestría,Entre 4 y 6 SMMLV,65448,32.74
Maestría,"Entre 2,5 y 4 SMMLV",41544,20.78
Maestría,Entre 6 y 9 SMMLV,39101,19.56
Maestría,Más de 9 SMMLV,33306,16.66
Maestría,"Entre 1,5 y 2,5 SMMLV",9856,4.93
Maestría,"Entre 1 y 1,5 SMMLV",7369,3.69
Maestría,1 SMMLV,3298,1.65
Tecnológico,"Entre 1 y 1,5 SMMLV",286303,43.72
Tecnológico,"Entre 1,5 y 2,5 SMMLV",183716,28.06
Tecnológico,1 SMMLV,81145,12.39
Tecnológico,"Entre 2,5 y 4 SMMLV",72800,11.12
Tecnológico,Entre 4 y 6 SMMLV,21212,3.24
Tecnológico,Entre 6 y 9 SMMLV,6799,1.04
Tecnológico,Más de 9 SMMLV,2848,0.43
Universitario,"Entre 2,5 y 4 SMMLV",372951,25.86
Universitario,"Entre 1,5 y 2,5 SMMLV",344992,23.92
Universitario,"Entre 1 y 1,5 SMMLV",324507,22.5
Universitario,Entre 4 y 6 SMMLV,174624,12.11
Universitario,1 SMMLV,90478,6.27
Universitario,Entre 6 y 9 SMMLV,81693,5.66
Universitario,Más de 9 SMMLV,52884,3.67
