programa,rango_ingreso,graduados,porcentaje
ACTIVIDAD FISICA Y DEPORTE,"Entre 1 y 1,5 SMMLV",51,41.46
ACTIVIDAD FISICA Y DEPORTE,"Entre 1,5 y 2,5 SMMLV",41,33.33
ACTIVIDAD FISICA Y DEPORTE,1 SMMLV,16,13.01
ACTIVIDAD FISICA Y DEPORTE,"Entre 2,5 y 4 SMMLV",10,8.13
ACTIVIDAD FISICA Y DEPORTE,Entre 4 y 6 SMMLV,5,4.07
ACUICULTURA,"Entre 1 y 1,5 SMMLV",56,33.73
ACUICULTURA,"Entre 1,5 y 2,5 SMMLV",49,29.52
ACUICULTURA,"Entre 2,5 y 4 SMMLV",25,15.06
ACUICULTURA,Entre 4 y 6 SMMLV,17,10.24
ACUICULTURA,1 SMMLV,13,7.83
ACUICULTURA,Entre 6 y 9 SMMLV,6,3.61
ADMINISTRACION,"Entre 1,5 y 2,5 SMMLV",45,23.94
ADMINISTRACION,"Entre 1 y 1,5 SMMLV",44,23.4
ADMINISTRACION,"Entre 2,5 y 4 SMMLV",39,20.74
ADMINISTRACION,Entre 4 y 6 SMMLV,24,12.77
ADMINISTRACION,Entre 6 y 9 SMMLV,13,6.91
ADMINISTRACION,Más de 9 SMMLV,13,6.91
ADMINISTRACION,1 SMMLV,10,5.32
ADMINISTRACION AGROINDUSTRIAL,"Entre 1 y 1,5 SMMLV",4,30.77
ADMINISTRACION AGROINDUSTRIAL,"Entre 1,5 y 2,5 SMMLV",3,23.08
ADMINISTRACION AGROINDUSTRIAL,"Entre 2,5 y 4 SMMLV",3,23.08
ADMINISTRACION AGROINDUSTRIAL,1 SMMLV,2,15.38
ADMINISTRACION AGROINDUSTRIAL,Entre 4 y 6 SMMLV,1,7.69
ADMINISTRACION AGROPECUARIA,"Entre 1 y 1,5 SMMLV",106,28.65
ADMINISTRACION AGROPECUARIA,"Entre 2,5 y 4 SMMLV",103,27.84
ADMINISTRACION AGROPECUARIA,"Entre 1,5 y 2,5 SMMLV",100,27.03
ADMINISTRACION AGROPECUARIA,1 SMMLV,30,8.11
ADMINISTRACION AGROPECUARIA,Entre 4 y 6 SMMLV,19,5.14
ADMINISTRACION AGROPECUARIA,Entre 6 y 9 SMMLV,10,2.7
ADMINISTRACION AGROPECUARIA,Más de 9 SMMLV,2,0.54
ADMINISTRACION AMBIENTAL,"Entre 1 y 1,5 SMMLV",381,29.63
ADMINISTRACION AMBIENTAL,"Entre 1,5 y 2,5 SMMLV",311,24.18
ADMINISTRACION AMBIENTAL,"Entre 2,5 y 4 SMMLV",262,20.37
ADMINISTRACION AMBIENTAL,Entre 4 y 6 SMMLV,126,9.8
ADMINISTRACION AMBIENTAL,1 SMMLV,122,9.49
ADMINISTRACION AMBIENTAL,Entre 6 y 9 SMMLV,55,4.28
ADMINISTRACION AMBIENTAL,Más de 9 SMMLV,29,2.26
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 1,5 y 2,5 SMMLV",88,30.88
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 2,5 y 4 SMMLV",65,22.81
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 1 y 1,5 SMMLV",59,20.7
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Entre 4 y 6 SMMLV,30,10.53
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,1 SMMLV,22,7.72
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Entre 6 y 9 SMMLV,12,4.21
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Más de 9 SMMLV,9,3.16
ADMINISTRACION COMERCIAL,"Entre 1,5 y 2,5 SMMLV",137,27.51
ADMINISTRACION COMERCIAL,"Entre 1 y 1,5 SMMLV",130,26.1
ADMINISTRACION COMERCIAL,"Entre 2,5 y 4 SMMLV",119,23.9
ADMINISTRACION COMERCIAL,Entre 4 y 6 SMMLV,45,9.04
ADMINISTRACION COMERCIAL,1 SMMLV,38,7.63
ADMINISTRACION COMERCIAL,Entre 6 y 9 SMMLV,18,3.61
ADMINISTRACION COMERCIAL,Más de 9 SMMLV,11,2.21
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 2,5 y 4 SMMLV",419,29.47
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 1,5 y 2,5 SMMLV",318,22.36
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 1 y 1,5 SMMLV",228,16.03
ADMINISTRACION COMERCIAL Y DE MERCADEO,Entre 4 y 6 SMMLV,201,14.14
ADMINISTRACION COMERCIAL Y DE MERCADEO,Entre 6 y 9 SMMLV,114,8.02
ADMINISTRACION COMERCIAL Y DE MERCADEO,Más de 9 SMMLV,72,5.06
ADMINISTRACION COMERCIAL Y DE MERCADEO,1 SMMLV,70,4.92
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 1 y 1,5 SMMLV",77,33.77
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 1,5 y 2,5 SMMLV",51,22.37
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 2,5 y 4 SMMLV",47,20.61
ADMINISTRACION COMERCIAL Y DE SISTEMAS,Entre 4 y 6 SMMLV,29,12.72
ADMINISTRACION COMERCIAL Y DE SISTEMAS,1 SMMLV,16,7.02
ADMINISTRACION COMERCIAL Y DE SISTEMAS,Entre 6 y 9 SMMLV,8,3.51
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 1,5 y 2,5 SMMLV",43,38.39
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 1 y 1,5 SMMLV",37,33.04
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 2,5 y 4 SMMLV",16,14.29
ADMINISTRACION COMERCIAL Y FINANCIERA,1 SMMLV,7,6.25
ADMINISTRACION COMERCIAL Y FINANCIERA,Entre 4 y 6 SMMLV,7,6.25
ADMINISTRACION COMERCIAL Y FINANCIERA,Entre 6 y 9 SMMLV,2,1.79
ADMINISTRACION DE AGRONEGOCIOS,"Entre 1,5 y 2,5 SMMLV",10,47.62
ADMINISTRACION DE AGRONEGOCIOS,"Entre 2,5 y 4 SMMLV",4,19.05
ADMINISTRACION DE AGRONEGOCIOS,1 SMMLV,3,14.29
ADMINISTRACION DE AGRONEGOCIOS,"Entre 1 y 1,5 SMMLV",2,9.52
ADMINISTRACION DE AGRONEGOCIOS,Entre 4 y 6 SMMLV,2,9.52
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 1 y 1,5 SMMLV",144,37.4
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 1,5 y 2,5 SMMLV",108,28.05
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 2,5 y 4 SMMLV",51,13.25
ADMINISTRACION DE COMERCIO EXTERIOR,1 SMMLV,34,8.83
ADMINISTRACION DE COMERCIO EXTERIOR,Entre 4 y 6 SMMLV,23,5.97
ADMINISTRACION DE COMERCIO EXTERIOR,Entre 6 y 9 SMMLV,13,3.38
ADMINISTRACION DE COMERCIO EXTERIOR,Más de 9 SMMLV,12,3.12
ADMINISTRACION DE CONSTRUCCIONES,"Entre 2,5 y 4 SMMLV",3,30.0
ADMINISTRACION DE CONSTRUCCIONES,"Entre 1 y 1,5 SMMLV",2,20.0
ADMINISTRACION DE CONSTRUCCIONES,"Entre 1,5 y 2,5 SMMLV",2,20.0
ADMINISTRACION DE CONSTRUCCIONES,1 SMMLV,1,10.0
ADMINISTRACION DE CONSTRUCCIONES,Entre 4 y 6 SMMLV,1,10.0
ADMINISTRACION DE CONSTRUCCIONES,Más de 9 SMMLV,1,10.0
ADMINISTRACION DE EMPRESAS,"Entre 1,5 y 2,5 SMMLV",45142,26.16
ADMINISTRACION DE EMPRESAS,"Entre 1 y 1,5 SMMLV",42176,24.44
ADMINISTRACION DE EMPRESAS,"Entre 2,5 y 4 SMMLV",40686,23.58
ADMINISTRACION DE EMPRESAS,Entre 4 y 6 SMMLV,18811,10.9
ADMINISTRACION DE EMPRESAS,1 SMMLV,10509,6.09
