ActividadEconomicaDesc,total_cotizantes,total_cotizaciones
"7490 - Otras Actividades Profesionales, Científicas Y Técnicas N.C.P.",1465017.513,1465510.293
8414 - Actividades Reguladoras Y Facilitadoras De La Actividad Económica,1236714.68,1240370.434
8299 - Otras Actividades De Servicio De Apoyo A Las Empresas N.C.P.,1125275.862,1124357.059
"8621 - Actividades De La Práctica Médica, Sin Internación",921913.283,922246.6
9609 - Otras Actividades De Servicios Personales N.C.P.,794106.856,792491.321
8030 - Actividades De Detectives E Investigadores Privados,729073.649,729677.866
9499 - Actividades De Otras Asociaciones N.C.P.,681159.546,680388.774
ND - NO DEFINIDO,677299.12,679358.356
7010 - Actividades De Administración Empresarial,675742.259,677050.272
8211 - Actividades Combinadas De Servicios Administrativos De Oficina,648302.88,650624.915
6910 - Actividades Jurídicas,637536.925,638683.09
5819 - Otros Trabajos De Edición,619176.048,619777.426
8511 - Educación De La Primera Infancia,576338.96,576893.509
8544 - Educación De Universidades,573216.97,574926.261
9700 - Actividades De Los Hogares Individuales Como Empleadores De Personal Doméstico,569358.433,570078.599
8512 - Educación Preescolar,561131.069,561812.31
7110 - Actividades De Arquitectura E Ingeniería Y Otras Actividades Conexas De Consultoría Técnica,547127.246,546582.138
7020 - Actividades De Consultaría De Gestión,543901.548,544936.208
9900 - Actividades De Organizaciones Y Entidades Extraterritoriales,538977.518,539715.555
8699 - Otras Actividades De Atención De La Salud Humana,529865.463,528437.231
7990 - Otros Servicios De Reserva Y Actividades Relacionadas,524265.854,524584.089
8415 - Actividades De Los Otros Órganos De Control,513343.902,513402.505
"6920 - Actividades De Contabilidad, Teneduría De Libros, Auditoría Financiera Y Asesoría Tributaria",480932.402,483064.823
6810 - Actividades Inmobiliarias Realizadas Con Bienes Propios O Arrendados,480118.98,481444.248
"0111 - Cultivo De Cereales (Excepto Arroz), Legumbres Y Semillas Oleaginosas",473256.375,474084.843
"1410 - Confección De Prendas De Vestir, Excepto Prendas De Piel",468823.977,469051.759
9101 - Actividades De Bibliotecas Y Archivos,466052.286,466854.796
8622 - Actividades De La Práctica Odontológica,462340.545,460183.775
9420 - Actividades De Sindicatos De Empleados,461873.44,460921.527
4111 - Construcción De Edificios Residenciales,456535.621,457628.067
9007 - Actividades De Espectáculos Musicales En Vivo,449725.768,449935.269
8560 - Actividades De Apoyo A La Educación,445716.911,443356.926
3290 - Otras Industrias Manufactureras N.C.P.,439591.094,439733.155
8513 - Educación Básica Primaria,434506.31,435011.905
8530 - Establecimientos Que Combinan Diferentes Niveles De Educación,433881.384,434532.39
7320 - Estudios De Mercado Y Realización De Encuestas De Opinión Pública,432370.79,432826.941
7310 - Publicidad,412062.723,412268.033
8421 - Relaciones Exteriores,408829.984,409094.044
8412 - Actividades Ejecutivas De La Administración Pública,408014.051,408621.07
6619 - Otras Actividades Auxiliares De Las Actividades De Servicios Financieros N.C.P.,407290.285,407738.786
0123 - Cultivo De Café,406434.367,403673.559
4923 - Transporte De Carga Por Carretera,401751.581,402188.873
4290 - Construcción De Otras Obras De Ingeniería Civil,400801.061,400651.95
8411 - Actividades Legislativas De La Administración Pública,390234.716,390916.21
8521 - Educación Básica Secundaria,387649.656,387801.817
5229 - Otras Actividades Complementarias Al Transporte,386940.648,387710.872
"4530 - Comercio De Partes, Piezas (Autopartes) Y Accesorios (Lujos) Para Vehículos Automotores",382760.227,381912.626
0161 - Actividades De Apoyo A La Agricultura,382490.307,383279.005
"8610 - Actividades De Hospitales Y Clínicas, Con Internación",380860.212,382763.732
6399 - Otras Actividades De Servicio De Información N.C.P.,380240.789,380520.17
6190 - Otras Actividades De Telecomunicaciones,378377.003,378918.96
6621 - Actividades De Agentes Y Corredores De Seguros,365508.155,366023.693
"4711 - Comercio Al Por Menor En Establecimientos No Especializados Con Surtido Compuesto Principalmente Por Alimentos, Bebidas O Tabaco",364833.26,365342.637
8523 - Educación Media Técnica Y De Formación Laboral,364153.176,361856.301
8522 - Educación Media Académica,363196.203,363307.314
