TipoCotizantePilaDesc,total_cotizantes,total_cotizaciones
AFILIADO PARTICIPE,616023.901,615409.315
AFILIADO PARTICIPE-DEPENDIENTE,358284.98,358544.439
APRENDICES DEL SENA EN ETAPA PRODUCTIVA,3858545.153,3858752.597
APRENDICES EN ETAPA LECTIVA,718240.771,718539.803
BENEFICIARIO DE PRESTACIÓN HUMANITARIA,2840.0,2840.0
BENEFICIARIO DEL FONDO DE SOLIDARIDAD PENSIONAL,165156.81,165225.134
BENEFICIARIO DEL MECANISMO PROTECCION AL CESANTE,121914.824,121914.88
BENEFICIARIO PROGRAMA DE REINCORPORACIÓN,72.181,72.181
BENEFICIARIO UPC ADICIONAL,289344.494,290158.303
"CONCEJAL MUNICIPAL NO AMPARADO CON POLIZA DE SALUD, BENEFICIARIO FONDO DE SOLIDARIDAD PENSIONAL",22652.0,22653.0
CONCEJAL MUNICIPAL O DISTRITAL NO AMPARADO CON PÓLIZA DE SALUD,260228.803,260493.934
CONCEJAL O EDIL DE JAL DEL DISTRITO CAPITAL DE BOGOTÁ AMPARADO CON PÓLIZA DE SALUD,424.0,424.0
COOPERADOS O PRECOOPERATIVAS DE TRABAJO ASOCIADO,1501860.556,1502355.835
COTIZANTE A PENSIONES CON PAGO POR TERCEROS,5534.0,5534.0
COTIZANTE INDEPENDIENTE PAGO SOLO SALUD (ARTICULO 2 LEY 1250 DE 2008),145601.582,145665.326
COTIZANTE MIEMBRO DE LA CARRERA DIPLOMÁTICA O CONSULAR DE UN PAÍS EXTRANJERO O FUNCIONARIO DE ORGANISMO MULTILATERAL NO SOMETIDO A LA LEGISLACIÓN COLOMBIANA.,261617.0,261641.0
DEPENDIENTE,63332876.108,63352202.424
DEPENDIENTE ENTIDADES O UNIVERSIDADES PUBLICAS DE LOS REGIMENES ESPECIAL Y DE EXCEPCIÓN EN SALUD,1340660.335,1341799.449
DEPENDIENTE VINCULADO PISO DE PROTECCIÓN SOCIAL,5073.625,5408.6539999999995
EDIL DE JUNTA ADMINISTRADORA LOCAL NO BENEFICIARIO DEL FONDO DE SOLIDARIDAD PENSIONAL,107913.0,107917.0
ESTUDIANTES (RÉGIMEN ESPECIAL-LEY 789/2002),164416.0,164751.0
ESTUDIANTES APORTE SOLO RIESGOS LABORALES,460106.132,461147.805
ESTUDIANTES DE POSTGRADO EN SALUD Y RESIDENTES,119203.032,119293.08
ESTUDIANTES DE PRACTICAS LABORALES EN EL SECTOR PÚBLICO,1275.0,1275.0
FUNCIONARIOS PUBLICOS SIN TOPE MAXIMO EN EL IBC,150418.0,150418.0
INDEPENDIENTE,5619260.296,5622414.484
INDEPENDIENTE AGREMIADO Ó ASOCIADO,343385.432,344434.192
INDEPENDIENTE CON CONTRATO DE PRESTACIÓN DE SERVICIOS SUPERIOR A 1 MES,8662609.66,8677858.868
INDEPENDIENTE VINCULADO PISO DE PROTECCIÓN SOCIAL,6915.67,7521.735
INDEPENDIENTE VOLUNTARIO AL SISTEMA DE RIESGOS LABORALES,3534784.564,3542280.619
MADRE  SUSTITUTA,67041.0,67133.0
NO DEFINIDO,18.0,18.0
PERSONAL DEL MAGISTERIO,1415283.553,1419953.064
PREPENSIONADO CON APORTE VOLUNTARIO A SALUD,419.0,419.0
PREPENSIONADO DE ENTIDAD EN LIQUIDACION,814.0,816.0
PROFESOR DE ESTABLECIMIENTO PARTICULAR,2634901.262,2635604.996
SERVICIO DOMÉSTICO,1560204.467,1562098.498
TRABAJADOR DEPENDIENTE DE TIEMPO PARCIAL,1469366.056,1472279.369
VOLUNTARIO EN PRIMERA RESPUESTA APORTE SOLO AL SISTEMA DE RIESGOS LABORALES,1.0,1.0
