anio_matricula,ciiu2,empresas_nuevas
2020.0,00,960
2020.0,01,3523
2020.0,02,178
2020.0,03,196
2020.0,05,151
2020.0,06,14
2020.0,07,159
2020.0,08,203
2020.0,09,106
2020.0,10,4787
2020.0,11,249
2020.0,12,4
2020.0,13,682
2020.0,14,3057
2020.0,15,698
2020.0,16,726
2020.0,17,97
2020.0,18,536
2020.0,19,30
2020.0,20,648
2020.0,21,112
2020.0,22,286
2020.0,23,331
2020.0,24,153
2020.0,25,1465
2020.0,26,61
2020.0,27,86
2020.0,28,238
2020.0,29,145
2020.0,30,57
2020.0,31,1035
2020.0,32,734
2020.0,33,1781
2020.0,35,255
2020.0,36,160
2020.0,37,23
2020.0,38,924
2020.0,39,187
2020.0,41,2502
2020.0,42,3165
2020.0,43,3930
2020.0,45,7396
2020.0,46,10064
2020.0,47,51884
2020.0,49,3067
2020.0,50,93
2020.0,51,30
2020.0,52,1152
2020.0,53,1343
2020.0,55,2281
2020.0,56,14312
2020.0,58,305
2020.0,59,422
2020.0,60,114
2020.0,61,1370
2020.0,62,2541
2020.0,63,707
2020.0,64,481
2020.0,65,119
2020.0,66,1374
2020.0,68,3836
2020.0,69,2358
2020.0,70,3606
2020.0,71,2681
2020.0,72,210
2020.0,73,2003
2020.0,74,1876
2020.0,75,441
2020.0,77,905
2020.0,78,248
2020.0,79,1144
2020.0,80,365
2020.0,81,1054
2020.0,82,3758
2020.0,84,159
2020.0,85,1858
2020.0,86,2453
2020.0,87,181
2020.0,88,220
2020.0,90,1031
2020.0,91,48
2020.0,92,497
2020.0,93,1357
2020.0,94,7350
2020.0,95,1599
2020.0,96,5768
2020.0,97,19
2020.0,98,7
2020.0,99,79
2021.0,00,1327
2021.0,01,4358
2021.0,02,236
2021.0,03,265
2021.0,05,207
2021.0,06,9
2021.0,07,212
2021.0,08,259
2021.0,09,107
2021.0,10,6253
2021.0,11,394
2021.0,12,8
2021.0,13,858
2021.0,14,3777
2021.0,15,842
2021.0,16,889
2021.0,17,109
2021.0,18,603
2021.0,19,48
