camara_comercio,ciiu2,empresas_activas
ABURRA SUR,01,675
ABURRA SUR,02,82
ABURRA SUR,03,11
ABURRA SUR,05,16
ABURRA SUR,06,1
ABURRA SUR,07,57
ABURRA SUR,08,31
ABURRA SUR,09,21
ABURRA SUR,10,1784
ABURRA SUR,11,73
ABURRA SUR,13,651
ABURRA SUR,14,1368
ABURRA SUR,15,194
ABURRA SUR,16,286
ABURRA SUR,17,68
ABURRA SUR,18,232
ABURRA SUR,19,16
ABURRA SUR,20,416
ABURRA SUR,21,39
ABURRA SUR,22,382
ABURRA SUR,23,164
ABURRA SUR,24,137
ABURRA SUR,25,559
ABURRA SUR,26,26
ABURRA SUR,27,65
ABURRA SUR,28,218
ABURRA SUR,29,80
ABURRA SUR,30,11
ABURRA SUR,31,383
ABURRA SUR,32,384
ABURRA SUR,33,486
ABURRA SUR,35,59
ABURRA SUR,36,43
ABURRA SUR,37,7
ABURRA SUR,38,155
ABURRA SUR,39,29
ABURRA SUR,41,867
ABURRA SUR,42,677
ABURRA SUR,43,1116
ABURRA SUR,45,1512
ABURRA SUR,46,4252
ABURRA SUR,47,11430
ABURRA SUR,49,885
ABURRA SUR,50,3
ABURRA SUR,51,5
ABURRA SUR,52,487
ABURRA SUR,53,171
ABURRA SUR,55,264
ABURRA SUR,56,4863
ABURRA SUR,58,93
ABURRA SUR,59,89
ABURRA SUR,60,23
ABURRA SUR,61,171
ABURRA SUR,62,895
ABURRA SUR,63,167
ABURRA SUR,64,222
ABURRA SUR,65,36
ABURRA SUR,66,491
ABURRA SUR,68,2518
ABURRA SUR,69,491
ABURRA SUR,70,1363
ABURRA SUR,71,778
ABURRA SUR,72,66
ABURRA SUR,73,599
ABURRA SUR,74,585
ABURRA SUR,75,185
ABURRA SUR,77,289
ABURRA SUR,78,48
ABURRA SUR,79,528
ABURRA SUR,80,74
ABURRA SUR,81,268
ABURRA SUR,82,1097
ABURRA SUR,84,62
ABURRA SUR,85,626
ABURRA SUR,86,681
ABURRA SUR,87,58
ABURRA SUR,88,88
ABURRA SUR,90,317
ABURRA SUR,91,11
ABURRA SUR,92,192
ABURRA SUR,93,329
ABURRA SUR,94,1167
ABURRA SUR,95,373
ABURRA SUR,96,2289
ABURRA SUR,98,6
ABURRA SUR,99,1995
ABURRA SUR,na,40
AGUACHICA,01,572
AGUACHICA,02,20
AGUACHICA,03,34
AGUACHICA,05,1
AGUACHICA,06,1
AGUACHICA,07,242
AGUACHICA,08,24
AGUACHICA,09,39
AGUACHICA,10,339
AGUACHICA,11,50
AGUACHICA,13,16
AGUACHICA,14,142
AGUACHICA,15,18
AGUACHICA,16,65
AGUACHICA,17,2
AGUACHICA,18,29
AGUACHICA,19,3
AGUACHICA,20,54
AGUACHICA,21,2
AGUACHICA,22,5
AGUACHICA,23,38
AGUACHICA,24,13
AGUACHICA,25,198
AGUACHICA,26,2
AGUACHICA,27,2
AGUACHICA,28,6
AGUACHICA,29,6
AGUACHICA,31,63
AGUACHICA,32,33
AGUACHICA,33,232
AGUACHICA,35,17
AGUACHICA,36,56
AGUACHICA,37,8
AGUACHICA,38,98
AGUACHICA,39,26
AGUACHICA,41,141
AGUACHICA,42,365
AGUACHICA,43,264
AGUACHICA,45,990
AGUACHICA,46,812
AGUACHICA,47,6171
AGUACHICA,49,404
AGUACHICA,50,38
AGUACHICA,51,1
AGUACHICA,52,88
AGUACHICA,53,70
AGUACHICA,55,352
AGUACHICA,56,1822
AGUACHICA,58,10
AGUACHICA,59,14
AGUACHICA,60,18
AGUACHICA,61,168
AGUACHICA,62,42
AGUACHICA,63,13
AGUACHICA,64,23
AGUACHICA,65,11
AGUACHICA,66,40
AGUACHICA,68,98
AGUACHICA,69,81
AGUACHICA,70,85
AGUACHICA,71,250
AGUACHICA,72,4
AGUACHICA,73,102
AGUACHICA,74,56
AGUACHICA,75,15
AGUACHICA,77,147
AGUACHICA,78,23
AGUACHICA,79,22
AGUACHICA,80,44
AGUACHICA,81,38
AGUACHICA,82,188
AGUACHICA,84,6
AGUACHICA,85,63
AGUACHICA,86,180
AGUACHICA,87,10
AGUACHICA,88,21
AGUACHICA,90,45
AGUACHICA,92,48
AGUACHICA,93,401
AGUACHICA,94,2612
AGUACHICA,95,160
AGUACHICA,96,371
AGUACHICA,97,1
AGUACHICA,99,992
AGUACHICA,na,8
AMAZONAS,01,125
AMAZONAS,02,13
AMAZONAS,03,35
AMAZONAS,08,2
AMAZONAS,09,5
AMAZONAS,10,139
AMAZONAS,11,11
AMAZONAS,13,7
AMAZONAS,14,31
AMAZONAS,15,1
AMAZONAS,16,58
AMAZONAS,17,2
AMAZONAS,18,8
AMAZONAS,20,13
AMAZONAS,21,4
AMAZONAS,22,2
AMAZONAS,23,2
AMAZONAS,24,1
AMAZONAS,25,16
AMAZONAS,26,3
AMAZONAS,28,1
AMAZONAS,29,1
AMAZONAS,31,5
AMAZONAS,32,13
AMAZONAS,33,26
AMAZONAS,35,8
AMAZONAS,36,14
AMAZONAS,37,1
AMAZONAS,38,13
AMAZONAS,39,5
AMAZONAS,41,46
AMAZONAS,42,68
AMAZONAS,43,76
AMAZONAS,45,94
AMAZONAS,46,428
AMAZONAS,47,1321
AMAZONAS,49,70
AMAZONAS,50,99
AMAZONAS,51,14
AMAZONAS,52,20
AMAZONAS,53,17
AMAZONAS,55,218
AMAZONAS,56,565
AMAZONAS,58,2
AMAZONAS,59,8
AMAZONAS,60,4
AMAZONAS,61,56
AMAZONAS,62,20
AMAZONAS,63,7
AMAZONAS,64,8
AMAZONAS,65,2
AMAZONAS,66,78
AMAZONAS,68,79
AMAZONAS,69,27
AMAZONAS,70,47
AMAZONAS,71,54
AMAZONAS,72,4
AMAZONAS,73,44
AMAZONAS,74,31
AMAZONAS,75,9
AMAZONAS,77,28
AMAZONAS,78,5
AMAZONAS,79,296
AMAZONAS,80,25
AMAZONAS,81,22
AMAZONAS,82,45
AMAZONAS,84,5
AMAZONAS,85,56
AMAZONAS,86,114
AMAZONAS,87,3
AMAZONAS,88,5
AMAZONAS,90,26
AMAZONAS,91,10
AMAZONAS,92,13
AMAZONAS,93,27
AMAZONAS,94,289
AMAZONAS,95,34
AMAZONAS,96,236
AMAZONAS,99,297
AMAZONAS,na,24
ARAUCA,01,247
ARAUCA,02,11
ARAUCA,03,25
ARAUCA,06,1
ARAUCA,08,13
ARAUCA,09,4
ARAUCA,10,209
ARAUCA,11,9
ARAUCA,12,4
ARAUCA,13,22
ARAUCA,14,54
ARAUCA,15,26
ARAUCA,16,16
ARAUCA,17,2
ARAUCA,18,8
ARAUCA,20,21
ARAUCA,22,4
ARAUCA,23,11
ARAUCA,24,8
ARAUCA,25,51
ARAUCA,27,2
ARAUCA,28,8
ARAUCA,31,12
ARAUCA,32,16
ARAUCA,33,65
ARAUCA,35,15
ARAUCA,36,8
ARAUCA,37,1
ARAUCA,38,22
ARAUCA,39,14
ARAUCA,41,90
ARAUCA,42,352
ARAUCA,43,129
ARAUCA,45,254
ARAUCA,46,452
ARAUCA,47,1944
ARAUCA,49,88
ARAUCA,50,4
ARAUCA,51,6
ARAUCA,52,21
ARAUCA,53,38
ARAUCA,55,76
ARAUCA,56,684
ARAUCA,58,10
ARAUCA,59,6
ARAUCA,60,10
ARAUCA,61,87
ARAUCA,62,30
ARAUCA,63,8
ARAUCA,64,8
ARAUCA,65,6
ARAUCA,66,69
ARAUCA,68,44
ARAUCA,69,67
ARAUCA,70,120
ARAUCA,71,171
ARAUCA,72,18
ARAUCA,73,90
ARAUCA,74,33
ARAUCA,75,30
ARAUCA,77,44
ARAUCA,78,20
ARAUCA,79,37
ARAUCA,80,20
ARAUCA,81,32
ARAUCA,82,102
ARAUCA,84,22
ARAUCA,85,110
ARAUCA,86,134
ARAUCA,87,5
ARAUCA,88,9
ARAUCA,90,49
ARAUCA,91,2
ARAUCA,92,18
ARAUCA,93,55
ARAUCA,94,503
ARAUCA,95,71
ARAUCA,96,178
ARAUCA,99,813
ARAUCA,na,16
ARMENIA,01,775
ARMENIA,02,42
ARMENIA,03,17
ARMENIA,05,1
ARMENIA,07,9
ARMENIA,08,20
ARMENIA,09,5
ARMENIA,10,1155
ARMENIA,11,73
ARMENIA,13,79
ARMENIA,14,373
ARMENIA,15,107
ARMENIA,16,183
ARMENIA,17,13
ARMENIA,18,97
ARMENIA,19,4
ARMENIA,20,116
ARMENIA,21,19
ARMENIA,22,46
ARMENIA,23,69
ARMENIA,24,38
ARMENIA,25,261
ARMENIA,26,12
ARMENIA,27,11
ARMENIA,28,51
ARMENIA,29,23
ARMENIA,30,7
ARMENIA,31,197
ARMENIA,32,163
ARMENIA,33,190
ARMENIA,35,34
ARMENIA,36,19
ARMENIA,37,14
ARMENIA,38,160
ARMENIA,39,16
ARMENIA,41,1059
ARMENIA,42,379
ARMENIA,43,769
ARMENIA,45,1450
ARMENIA,46,1656
ARMENIA,47,11119
ARMENIA,49,391
ARMENIA,50,3
ARMENIA,51,3
ARMENIA,52,489
ARMENIA,53,106
ARMENIA,55,2146
ARMENIA,56,4516
ARMENIA,58,57
ARMENIA,59,54
ARMENIA,60,23
ARMENIA,61,198
ARMENIA,62,336
ARMENIA,63,94
ARMENIA,64,59
ARMENIA,65,133
ARMENIA,66,502
ARMENIA,68,906
ARMENIA,69,264
