ciiu2,empresas_activas
47,883380
56,309263
94,238890
46,211522
45,135861
99,125115
96,106837
na,105517
68,102742
10,90380
70,78997
43,75926
82,75107
01,71911
42,65211
49,63949
86,62138
71,58254
41,57678
14,57281
69,47680
55,47103
73,44804
62,42439
85,42299
66,39565
33,33471
74,33319
79,29467
93,28905
25,28360
52,27322
95,25953
61,25569
90,22377
77,19338
31,18351
81,17316
32,16563
38,15811
15,15384
00,14763
18,14404
64,14071
13,13842
16,13709
20,13619
53,12886
92,11527
80,10021
63,8944
22,8857
59,8149
75,8067
78,7948
23,7508
36,7096
G5,6977
28,6405
58,6148
35,5846
65,5767
11,5616
08,5594
72,5328
84,4634
07,4605
29,4500
88,4447
05,4313
24,4311
87,4140
K7,4108
02,3846
03,3758
O9,3741
39,3456
50,3393
09,2917
51,2894
27,2714
21,2674
60,2672
17,2393
J6,1802
26,1648
91,1482
F4,1363
A0,1280
I6,1258
30,1224
D1,1219
D2,1213
19,960
37,745
Z9,578
H5,472
N8,404
D3,394
06,312
12,263
M8,251
C1,247
97,247
67,220
98,139
L7,104
B0,89
E4,59
40,15
83,10
34,9
Q9,3
89,1
P9,1
