institucion,programa,departamento,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,CIENCIA POLITICA Y GOBIERNO,BOGOTÁ,134.0,192.0,164.0,154.0,131.0
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,JURISPRUDENCIA,BOGOTÁ,154.5,227.0,200.5,198.0,199.5
COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,172.0,160.0,164.0,171.0,172.0
CORPORACION ESCUELA DE ARTES Y LETRAS-BOGOTÁ D.C.,CINE Y TELEVISIÓN,BOGOTÁ,137.0,193.0,182.0,211.0,178.0
CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,168.0,128.0,140.0,145.0,159.0
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,ARQUITECTURA,BOGOTÁ,153.0,133.75,157.0,160.75,171.25
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,198.0,164.0,173.0,189.0,141.0
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA FINANCIERA,BOGOTÁ,169.0,151.0,185.0,205.0,189.0
CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA MECATRONICA,BOGOTÁ,177.0,98.0,130.0,188.0,168.0
CORPORACION UNIVERSITARIA  UNITEC-BOGOTÁ D.C.,CINE Y TELEVISION,BOGOTÁ,135.5,159.5,157.0,169.0,141.5
CORPORACION UNIVERSITARIA  UNITEC-BOGOTÁ D.C.,MERCADEO Y PUBLICIDAD,BOGOTÁ,176.0,171.0,181.0,149.0,132.0
CORPORACION UNIVERSITARIA ADVENTISTA-MEDELLIN,LICENCIATURA EN TEOLOGIA,ANTIOQUIA,147.5,145.5,141.0,153.0,153.0
CORPORACION UNIVERSITARIA CENDA-BOGOTÁ D.C.,LICENCIATURA EN EDUCACION ARTISTICA Y ARTES ESCENICAS,BOGOTÁ,184.0,162.0,200.0,165.0,163.0
CORPORACION UNIVERSITARIA DE ASTURIAS-BOGOTÁ D.C.,ADMINISTRACION Y DIRECCION DE EMPRESAS,BOGOTÁ,150.8,134.0,139.6,143.0,129.8
CORPORACION UNIVERSITARIA DE ASTURIAS-BOGOTÁ D.C.,NEGOCIOS INTERNACIONALES,BOGOTÁ,166.0,140.5,121.5,159.5,113.5
CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,139.0,120.0,126.0,106.0,134.0
CORPORACION UNIVERSITARIA DEL CARIBE - CECAR-SINCELEJO,LICENCIATURA EN INGLÉS,SUCRE,161.0,124.0,161.0,300.0,148.0
CORPORACION UNIVERSITARIA DEL CARIBE - CECAR-SINCELEJO,LICENCIATURA EN PEDAGOGÍA INFANTIL,SUCRE,152.5,140.5,134.0,150.5,133.5
CORPORACION UNIVERSITARIA IBEROAMERICANA-BOGOTÁ D.C.,INGENIERÍA INDUSTRIAL,BOGOTÁ,135.75,72.75,140.0,138.25,134.75
