programa,departamento,area_desempeno,tipo_certificado,escolaridad,costo,duracion_horas,estado_programa,anio_corte,institucion
TÉCNICO LABORAL EN AUXILIAR EN PREESCOLAR,SUCRE,,TÉCNICO LABORAL,SECUNDARIA,1880000.0,900.0,REGISTRO RENOVADO,2.02,JEAN PIAGET
CONOCIMIENTOS ACADÉMICOS EN PORTUGUES NIVEL A2,CALDAS,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,396000.0,160.0,REGISTRO RENOVADO,2.02,UNIVERSIDAD DE CALDAS
SAGRADAS ESCRITURAS,CÓRDOBA,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,1006000.0,0.0,REGISTRO RENOVADO,2.02,INSTITUTO BIBLICO CENTRAL
AUXILIAR en ENFERMERIA,CUNDINAMARCA,SALUD,TÉCNICO LABORAL,MEDIA,452.0,1.8,REGISTRO RENOVADO,2.02,ESCUELA DE SALUD TERESA DE CALCUTA
AUXILIAR DE ENFERMERIA,GUAVIARE,SALUD,TÉCNICO LABORAL,MEDIA,4664000.0,1.8,REGISTRO RENOVADO,2.02,CENTRO EDUCATIVO ANDINO
TÉCNICO LABORAL EN COCINA,CAUCA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,0.0,1.4,REGISTRO RENOVADO,2.02,FUNDACION ESCUELA TALLER POPAYAN
AUXILIAR EN SALUD ORAL,HUILA,SALUD,TÉCNICO LABORAL,SECUNDARIA,800000.0,1.65,REGISTRO RENOVADO,2.02,ESCUELA DE SALUD EMCOSALUD
CONOCIMIENTOS ACADÉMICOS EN PEINADOS,ANTIOQUIA,,CONOCIMIENTOS ACADÉMICOS,NO APLICA,1000000.0,180.0,REGISTRO RENOVADO,2.02,ESCUELA DE BELLEZA MARIELA
ESTUDIOS BIBLICOS AVANZADOS,SUCRE,,CONOCIMIENTOS ACADÉMICOS,SECUNDARIA,1316000.0,800.0,REGISTRO RENOVADO,2.02,CORPORACION INSTITUTO PARA LA EDUCACION PASTORAL CIPEP
TÉCNICO LABORAL EN BAR Y MESA,ANTIOQUIA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,3159829.0,1.304,REGISTRO RENOVADO,2.02,COLEGIO COMFAMA
TECNICO LABORAL POR COMPETENCIAS EN SECRETARIA DE GERENCIA,CAUCA,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,MEDIA,2849962.0,1.3,REGISTRO RENOVADO,2.02,INSTITUTO ADVANCING SYSTEM PLUS S.A.S
TÉCNICO LABORAL EN AUXILIAR SISTEMA,LA GUAJIRA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,1656000.0,1.4,REGISTRO RENOVADO,2.02,"INSTITUTO NACIONAL CENTRO DE SISTEMAS ""SYSTEM CENTER"" - SAN JUAN"
TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA,ATLÁNTICO,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,4590000.0,1.2,REGISTRO RENOVADO,2.02,INSTITUTO TECNICO DE ADMINISTRACION Y SALUD  INCATEC
TECNICO LABORAL EN COCINA NACIONAL E INTERNACIONAL,BOLÍVAR,VENTAS Y SERVICIOS,TÉCNICO LABORAL,MEDIA,600000.0,1.34,REGISTRO RENOVADO,2.02,INSTITUCION PARA EL TRABAJO Y DESARROLLO HUMANO INSTITUTO EMPRENDER
SISTEMAS,HUILA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,TÉCNICO LABORAL,PRIMARIA,1340000.0,800.0,REGISTRO RENOVADO,2.02,INSTITUTO POLITECNICO AMERICANO
TÉCNICO LABORAL EN  MANTENIMIENTO DE EQUIPO BIOMEDICO,HUILA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",TÉCNICO LABORAL,NO APLICA,770000.0,900.0,REGISTRO RENOVADO,2.02,INSTITUTO POLITECNICO AMERICANO
TÉCNICO LABORAL AUXILIAR CONTABLE Y FINANCIERO,NORTE DE SANTANDER,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,2500000.0,1.28,REGISTRO RENOVADO,2.02,INSTITUTO TECNICO IMTEL LTDA
CONTABILIDAD SISTEMATIZADA,CESAR,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,500000.0,1.4,REGISTRO RENOVADO,2.02,INSTITUTO ALVIS
TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO,VALLE DEL CAUCA,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,1800000.0,640.0,REGISTRO RENOVADO,2.02,FUNDACION EDUCATIVA CES
TÉCNICO LABORAL EN MECANICA CONFECCIÓN Y PATRONAJE,BOGOTÁ D.C.,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,3809000.0,1.2,REGISTRO RENOVADO,2.02,CAMPO ALTO ACESALUD S.A.
TECNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACEUTICOS,CÓRDOBA,SALUD,TÉCNICO LABORAL,NO APLICA,2790000.0,1.85,REGISTRO RENOVADO,2.02,"SISTEMAS DE CORDOBA ""CESCOR""- MONTELIBANO"
TÉCNICO LABORAL EN AUXILIAR DE EDUCACIÓN PARA LA PRIMERA INFANCIA,NARIÑO,"CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",TÉCNICO LABORAL,NO APLICA,1865000.0,630.0,REGISTRO RENOVADO,2.02,INSTITUTO DE EDUCACIÓN TÉCNICA INESUR
"CONOCIMIENTOS ACADÉMICOS EN FORMACIÓN  PARA LA INCLUSIÓN SOCIO OCUPACIONAL DE NIÑOS, ADOLESCENTES Y ADULTOS CON  NECESIDADES EDUCATIVAS ESPECIALES",ANTIOQUIA,,CONOCIMIENTOS ACADÉMICOS,NO APLICA,4565000.0,1.8,REGISTRO RENOVADO,2.02,CENTRO EDUCATIVO LA ARCADIA
TÉCNICO LABORAL EN DISEÑADORES GRAFICOS Y DIBUJANTES ARTISTICOS,HUILA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,770000.0,900.0,REGISTRO RENOVADO,2.02,INSTITUTO POLITECNICO AMERICANO
TÉCNICO LABORAL POR COMPETENCIAS EN ASISTENTE TURÍSTICO,HUILA,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,770000.0,1.2,REGISTRO RENOVADO,2.02,INSTITUTO POLITECNICO AMERICANO
OFIMATICA EMPRESARIAL,CESAR,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,TÉCNICO LABORAL,SECUNDARIA,385000.0,1.296,REGISTRO RENOVADO,2.02,CENTRO EDUCATIVO DE SISTEMAS UPARSISTEM
TÉCNICO LABORAL POR COMPETENCIAS EN LOGISTICA COMERCIAL,VALLE DEL CAUCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",TÉCNICO LABORAL,SECUNDARIA,1115442.0,1.1,REGISTRO RENOVADO,2.02,COMFENALCO VALLE
TÉCNICO LABORAL EN PREPARACION DE ALIMENTOS,BOGOTÁ D.C.,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE",TÉCNICO LABORAL,SECUNDARIA,1583114.0,600.0,REGISTRO RENOVADO,2.02,CENTRO DE CAPACITACIÓN LABORAL MIQUELINA
TÉCNICO LABORAL EN MANTENIMIENTO ELECTRICO Y ELECTRONICO DE AUTOMOTORES,VALLE DEL CAUCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",TÉCNICO LABORAL,SECUNDARIA,1500000.0,1.0,REGISTRO RENOVADO,2.02,INSTITUTO TECNICO COMERCIAL E INDUSTRIAL PROVIDENCIA
OPERADOR LOGISTICO,VALLE DEL CAUCA,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",TÉCNICO LABORAL,SECUNDARIA,1190689.0,920.0,REGISTRO RENOVADO,2.02,FUNDACION  CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES FCECEP
TECNICO LABORAL POR COMPETENCIA EN AUXILIAR CONTABLE Y FINANCIERA,ATLÁNTICO,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,NO APLICA,2640000.0,1.6,REGISTRO RENOVADO,2.02,CENTRO DE INFORMATICA DEL CARIBE LTDA DE SABANALARGA
DISEÑO DE MODAS Y PATRONAJE INDUSTRIAL,CESAR,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES",TÉCNICO LABORAL,SECUNDARIA,2250000.0,1.8,REGISTRO RENOVADO,2.02,ESCUELA TECNICA DE MODA MARIA T
PELUQUERIA,BOGOTÁ D.C.,VENTAS Y SERVICIOS,TÉCNICO LABORAL,SECUNDARIA,800000.0,1.1,REGISTRO RENOVADO,2.02,ESCUELA DE BELLEZA ELITE
TECNICO LABORAL POR COMPETENCIAS EN SISTEMAS Y MANTENIMIENTO,TOLIMA,CIENCIAS NATURALES APLICADAS Y RELACIONADAS,TÉCNICO LABORAL,OTRO,1560000.0,1.15,REGISTRO RENOVADO,2.02,CECONTEC -GUAMO
TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,CALDAS,SALUD,TÉCNICO LABORAL,SECUNDARIA,5732480.0,1.75,REGISTRO RENOVADO,2.02,INSTITUTO LATINOAMERICANO DE EDUCACIÓN IDONTEC
AUXILIAR EN ENFERMERIA,BOGOTÁ D.C.,SALUD,TÉCNICO LABORAL,SECUNDARIA,3235000.0,1.8,REGISTRO RENOVADO,2.02,ESCUELA DE AUXILIARES DE ENFERMERIA SANTA FE DE BOGOTA
TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,ARAUCA,SALUD,TÉCNICO LABORAL,SECUNDARIA,2484850.0,1.8,REGISTRO RENOVADO,2.02,"CENTRO DE CAPACITACIÓN SOCIAL Y PREPARACIÓN OBJETIVA ""CEDECSPRO"""
TECNICO LABORAL EN AUXILIAR EN SECRETARIADO EJECUTIVO,CALDAS,FINANZAS Y ADMINISTRACIÓN,TÉCNICO LABORAL,SECUNDARIA,4100000.0,1.346,REGISTRO RENOVADO,2.02,INSTITUTO COLOMBIANO DE EDUCACION PARA EL TRABAJO  INCET ANTES INCAP
TÉCNICO LABORAL EN AUXILIAR DE ALMACEN Y BODEGA,BOGOTÁ D.C.,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE",TÉCNICO LABORAL,SECUNDARIA,5000000.0,1.32,REGISTRO RENOVADO,2.02,GENTE ESTRATÉGICA - CENTRO DE FORMACIÓN PARA EL TRABAJO
