departamento,matriculados
Amazonas,320.0
Antioquia,46926.97
Arauca,566.0
Archipiélago de San Andrés,467.0
Atlántico,15485.16
Bogotá,36387.55
Bolívar,14073.31
Boyacá,10248.0
Caldas,4535.0
Caquetá,1286.0
Casanare,1693.0
Cauca,9019.0
Cesar,7809.0
Chocó,587.0
Cundinamarca,19274.0
Córdoba,2780.0
Guainía,399.0
Guaviare,1194.0
Huila,9222.0
La Guajira,3440.0
Magdalena,3161.0
Meta,4115.0
Nariño,3467.0
Norte De Santander,8607.0
Putumayo,1485.0
Quindío,5980.0
Risaralda,5564.0
Santander,12886.0
Sucre,1320.0
Tolima,9594.0
Valle del Cauca,22734.28
Vaupés,40.0
Vichada,297.0
